Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Alderete,Sunderland,DEF,4.1,76,OK,18.54,19.0,1.0,76.0
Andersen,Fulham,DEF,4.6,74,OK,16.09,18.0,1.0,74.0
Pedro Porro,Spurs,DEF,5.2,74,OK,14.23,21.0,1.0,74.0
Virgil,Liverpool,DEF,5.9,73,DOUBT,12.37,11.0,1.0,73.0
Cucurella,Chelsea,DEF,6.1,72,DOUBT,11.8,3.0,1.0,72.0
Konaté,Liverpool,DEF,5.4,72,OK,13.33,11.0,1.0,72.0
Gusto,Chelsea,DEF,5.0,71,OK,14.2,3.0,1.0,71.0
Romero,Spurs,DEF,5.0,70,OK,14.0,11.0,1.0,70.0
Truffert,Bournemouth,DEF,4.5,66,OK,14.67,10.0,1.0,66.0
O'Brien,Everton,DEF,4.9,65,OK,13.27,16.0,1.0,65.0
Tete,Fulham,DEF,4.5,65,OK,14.44,16.0,1.0,65.0
Hume,Sunderland,DEF,4.5,64,OK,14.22,18.0,1.0,64.0
Dalot,Man Utd,DEF,4.4,62,OK,14.09,15.0,1.0,62.0
Lewis-Potter,Brentford,DEF,4.9,59,OK,12.04,59.0,1.0,59.0
Kayode,Brentford,DEF,4.5,57,OK,12.67,57.0,1.0,57.0
Struijk,Leeds,DEF,4.3,56,OK,13.02,56.0,1.0,56.0
Digne,Aston Villa,DEF,4.5,55,OK,12.22,3.0,1.0,55.0
Konsa,Aston Villa,DEF,4.4,55,OK,12.5,8.0,1.0,55.0
N.Williams,Nott'm Forest,DEF,4.7,55,OK,11.7,5.0,1.0,55.0
Saliba,Arsenal,DEF,5.9,54,OK,9.15,11.0,1.0,54.0
F.Kadıoğlu,Brighton,DEF,4.4,54,OK,12.27,54.0,1.0,54.0
Mykolenko,Everton,DEF,4.9,54,OK,11.02,15.0,1.0,54.0
Van den Berg,Brentford,DEF,4.5,52,OK,11.56,7.0,1.0,52.0
Spence,Spurs,DEF,4.3,52,OK,12.09,52.0,1.0,52.0
Milenković,Fulham,DEF,5.1,50,DOUBT,9.8,50.0,1.0,50.0
Gudmundsson,Leeds,DEF,3.8,49,OK,12.89,49.0,1.0,49.0
De Cuyper,Brighton,DEF,4.3,48,OK,11.16,8.0,1.0,48.0
Schär,Newcastle,DEF,5.3,48,OK,9.06,48.0,1.0,48.0
Livramento,Newcastle,DEF,4.9,48,OK,9.8,1.0,1.0,48.0
Hartman,Burnley,DEF,4.0,46,OK,11.5,0.0,1.0,46.0
Dorgu,Man Utd,DEF,4.2,46,OK,10.95,46.0,1.0,46.0
Shaw,Man Utd,DEF,4.5,45,OK,10.0,45.0,1.0,45.0
Dunk,Brighton,DEF,4.5,45,OK,10.0,45.0,1.0,45.0
Diouf,West Ham,DEF,4.0,44,OK,11.0,44.0,1.0,44.0
Semenyo,Bournemouth,MID,7.4,113,OK,15.27,24.0,1.0,113.0
Rice,Arsenal,MID,6.9,119,OK,17.25,33.0,1.0,119.0
B.Fernandes,Man Utd,MID,9.1,99,DOUBT,10.88,1.0,1.0,99.0
Foden,Man City,MID,8.2,98,OK,11.95,10.0,1.0,98.0
Rogers,Aston Villa,MID,7.5,96,OK,12.8,20.0,1.0,96.0
Bruno G.,Newcastle,MID,6.8,86,OK,12.65,4.0,1.0,86.0
Saka,Arsenal,MID,10.2,95,OK,9.31,20.0,1.0,95.0
Wilson,Fulham,MID,5.8,93,OK,16.03,15.0,1.0,93.0
Enzo,Chelsea,MID,6.4,91,OK,14.22,22.0,1.0,91.0
Gravenberch,Liverpool,MID,5.7,91,OK,15.96,22.0,1.0,91.0
Garner,Everton,MID,5.1,89,OK,17.45,29.0,1.0,89.0
Xhaka,Sunderland,MID,5.2,86,OK,16.54,18.0,1.0,86.0
Stach,Leeds,MID,4.9,85,OK,17.35,85.0,1.0,85.0
Neto,Chelsea,MID,7.2,83,OK,11.53,7.0,1.0,83.0
Casemiro,Man Utd,MID,5.5,83,OK,15.09,83.0,1.0,83.0
Tavernier,Bournemouth,MID,5.6,81,OK,14.46,81.0,1.0,81.0
Anderson,Nott'm Forest,MID,5.3,80,OK,15.09,80.0,1.0,80.0
Schade,Brentford,MID,7.1,79,OK,11.13,79.0,1.0,79.0
Minteh,Brighton,MID,6.0,79,DOUBT,13.17,8.0,1.0,79.0
Trossard,Arsenal,MID,7.0,78,DOUBT,11.14,19.0,1.0,78.0
Grealish,Everton,MID,6.5,77,OK,11.85,77.0,1.0,77.0
Gibbs-White,Nott'm Forest,MID,7.3,72,OK,9.86,14.0,1.0,72.0
E Le Fee,Sunderland,MID,4.9,71,OK,14.49,13.0,1.0,71.0
J.Palhinha,Spurs,MID,5.5,69,OK,12.55,7.0,1.0,69.0
Wirtz,Liverpool,MID,8.2,68,OK,8.29,68.0,1.0,68.0
Szoboszlai,Liverpool,MID,6.6,68,OK,10.3,68.0,1.0,68.0
McGinn,Aston Villa,MID,5.4,67,OK,12.41,67.0,1.0,67.0
Eze,Arsenal,MID,7.4,66,OK,8.92,66.0,1.0,66.0
Cunha,Man City,MID,8.2,64,OK,7.8,64.0,1.0,64.0
Anthony,Burnley,MID,5.1,63,OK,12.35,5.0,1.0,63.0
Bentancur,Spurs,MID,5.3,62,OK,11.7,62.0,1.0,62.0
Ayari,Brighton,MID,4.8,61,OK,12.71,61.0,1.0,61.0
Doku,Man City,MID,6.4,61,OK,9.53,2.0,1.0,61.0
M.Fernandes,West Ham,MID,5.5,59,OK,10.73,7.0,1.0,59.0
Kamara,Aston Villa,MID,4.9,58,OK,11.84,7.0,1.0,58.0
Georginio,Brighton,MID,5.6,58,OK,10.36,12.0,1.0,58.0
Ugochukwu,Burnley,MID,5.0,57,OK,11.4,10.0,1.0,57.0
Henderson,Brentford,MID,5.0,57,OK,11.4,4.0,1.0,57.0
Yarmoliuk,Brentford,MID,5.0,57,OK,11.4,57.0,1.0,57.0
Haaland,Man City,FWD,14.1,157,OK,11.13,22.0,1.1,172.7
Thiago,Brentford,FWD,6.5,108,OK,16.62,26.0,1.0,108.0
Ekitiké,Liverpool,FWD,9.1,84,DOUBT,9.23,16.0,1.0,84.0
Bowen,West Ham,FWD,7.7,84,OK,10.91,10.0,1.0,84.0
João Pedro,Chelsea,FWD,7.2,81,OK,11.25,15.0,1.0,81.0
Calvert-Lewin,Leeds,FWD,5.9,81,OK,13.73,24.0,1.0,81.0
Mateta,Crystal Palace,FWD,7.6,78,OK,10.26,15.0,1.0,78.0
Watkins,Aston Villa,FWD,8.6,79,OK,9.19,29.0,1.0,79.0
Woltemade,Newcastle,FWD,7.3,74,OK,10.14,18.0,1.0,74.0
Richarlison,Spurs,FWD,6.4,72,OK,11.25,11.0,1.0,72.0
Welbeck,Brighton,FWD,6.3,64,OK,10.16,5.0,1.0,64.0
Raúl,Fulham,FWD,6.2,57,OK,9.19,16.0,1.0,57.0
