Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
L.Paquetá,West Ham,MID,5.9,24,4.07,1.0,24.0,WHU,2.8,8.57,0.0,8.57
Tavernier,Bournemouth,MID,5.5,23,4.18,1.0,23.0,BOU,2.4,9.58,3.25,10.94
Szoboszlai,Liverpool,MID,6.5,21,3.23,1.0,21.0,LIV,3.0,7.0,3.25,8.08
Ndoye,Nott'm Forest,MID,6.1,21,3.44,1.0,21.0,NFO,2.6,8.08,0.0,8.08
Rice,Arsenal,MID,6.5,20,3.08,1.0,20.0,ARS,2.2,9.09,4.0,10.91
Gana,Everton,MID,5.4,20,3.7,1.0,20.0,EVE,2.8,7.14,0.0,7.14
Xhaka,Sunderland,MID,5.0,20,4.0,1.0,20.0,SUN,2.6,7.69,3.25,8.94
Johnson,Spurs,MID,7.0,20,2.86,1.0,20.0,TOT,2.4,8.33,0.0,8.33
Bergvall,Spurs,MID,5.4,20,3.7,1.0,20.0,TOT,2.4,8.33,0.0,8.33
J.Palhinha,Spurs,MID,5.5,20,3.64,1.0,20.0,TOT,2.4,8.33,0.0,8.33
Mbeumo,Man Utd,MID,8.1,19,2.35,1.0,19.0,MUN,2.8,6.79,2.0,7.5
P.M.Sarr,Spurs,MID,5.0,19,3.8,1.0,19.0,TOT,2.4,7.92,0.0,7.92
Mitoma,Brighton,MID,6.4,18,2.81,1.0,18.0,BHA,2.4,7.5,0.0,7.5
Sarr,Crystal Palace,MID,6.4,18,2.81,1.0,18.0,CRY,3.4,5.29,0.0,5.29
Doku,Man City,MID,6.4,18,2.81,1.0,18.0,MCI,2.2,8.18,2.5,9.32
Anderson,Nott'm Forest,MID,5.5,18,3.27,1.0,18.0,NFO,2.6,6.92,1.5,7.5
O.Dango,Brentford,MID,6.0,17,2.83,1.0,17.0,BRE,3.6,4.72,0.0,4.72
Wilson,Fulham,MID,5.4,17,3.15,1.0,17.0,FUL,2.8,6.07,4.5,7.68
Ayari,Brighton,MID,4.9,16,3.27,1.0,16.0,BHA,2.4,6.67,2.75,7.81
Neto,Chelsea,MID,7.0,16,2.29,1.0,16.0,CHE,2.8,5.71,1.5,6.25
Foden,Man City,MID,8.0,16,2.0,1.0,16.0,MCI,2.2,7.27,2.0,8.18
Hudson-Odoi,Nott'm Forest,MID,6.0,16,2.67,1.0,16.0,NFO,2.6,6.15,0.75,6.44
Talbi,Sunderland,MID,5.0,16,3.2,1.0,16.0,SUN,2.6,6.15,0.0,6.15
Brooks,Bournemouth,MID,5.0,15,3.0,1.0,15.0,BOU,2.4,6.25,2.0,7.08
Damsgaard,Brentford,MID,5.9,15,2.54,1.0,15.0,BRE,3.6,4.17,4.0,5.28
Henderson,Brentford,MID,5.0,15,3.0,1.0,15.0,BRE,3.6,4.17,0.0,4.17
E.Le Fée,Sunderland,MID,4.7,15,3.19,1.0,15.0,SUN,2.6,5.77,4.5,7.5
Eze,Arsenal,MID,7.5,14,1.87,1.0,14.0,ARS,2.2,6.36,0.0,6.36
Adams,Bournemouth,MID,5.0,14,2.8,1.0,14.0,BOU,2.4,5.83,0.0,5.83
Yarmoliuk,Brentford,MID,5.0,14,2.8,1.0,14.0,BRE,3.6,3.89,0.0,3.89
Bruno G.,Newcastle,MID,6.5,14,2.15,1.0,14.0,NEW,2.8,5.0,0.0,5.0
Tonali,Newcastle,MID,5.4,14,2.59,1.0,14.0,NEW,2.8,5.0,3.25,6.16
Schade,Brentford,MID,7.0,13,1.86,1.0,13.0,BRE,3.6,3.61,2.5,4.31
Georginio,Brighton,MID,5.8,13,2.24,1.0,13.0,BHA,2.4,5.42,0.0,5.42
Gruda,Brighton,MID,5.4,13,2.41,1.0,13.0,BHA,2.4,5.42,1.25,5.94
Wharton,Crystal Palace,MID,5.0,13,2.6,1.0,13.0,CRY,3.4,3.82,0.75,4.04
Lukić,Fulham,MID,5.0,13,2.6,1.0,13.0,FUL,2.8,4.64,0.0,4.64
Bernardo,Man City,MID,6.4,13,2.03,1.0,13.0,MCI,2.2,5.91,0.0,5.91
Haaland,Man City,FWD,14.3,46,3.22,1.5,69.0,MCI,2.2,31.36,6.25,34.2
João Pedro,Chelsea,FWD,7.8,35,4.49,1.2,42.0,CHE,2.8,15.0,0.0,15.0
Ekitiké,Liverpool,FWD,8.7,32,3.68,1.2,38.4,LIV,3.0,12.8,0.0,12.8
Richarlison,Spurs,FWD,6.7,29,4.33,1.0,29.0,TOT,2.4,12.08,2.5,13.12
Isidor,Sunderland,FWD,5.5,25,4.55,1.0,25.0,SUN,2.6,9.62,0.0,9.62
Bowen,West Ham,FWD,7.7,24,3.12,1.0,24.0,WHU,2.8,8.57,4.5,10.18
Gyökeres,Arsenal,FWD,9.0,22,2.44,1.0,22.0,ARS,2.2,10.0,0.0,10.0
Wood,Nott'm Forest,FWD,7.6,20,2.63,1.0,20.0,NFO,2.6,7.69,5.0,9.62
Foster,Burnley,FWD,5.0,18,3.6,1.0,18.0,BUR,3.2,5.62,0.0,5.62
Evanilson,Bournemouth,FWD,7.0,18,2.57,1.0,18.0,BOU,2.4,7.5,2.5,8.54
Thiago,Brentford,FWD,6.0,17,2.83,1.0,17.0,BRE,3.6,4.72,5.0,6.11
Mateta,Crystal Palace,FWD,7.6,16,2.11,1.0,16.0,CRY,3.4,4.71,5.0,6.18
Muniz,Fulham,FWD,5.5,15,2.73,1.0,15.0,FUL,2.8,5.36,0.0,5.36
Calvert-Lewin,Leeds,FWD,5.5,14,2.55,1.0,14.0,LEE,2.0,7.0,0.0,7.0
Mayenda,Sunderland,FWD,5.5,13,2.36,1.0,13.0,SUN,2.6,5.0,2.5,5.96
Beto,Everton,FWD,5.4,12,2.22,1.0,12.0,EVE,2.8,4.29,2.5,5.18
Woltemade,Newcastle,FWD,7.1,11,1.55,1.0,11.0,NEW,2.8,3.93,0.0,3.93
Wilson,West Ham,FWD,5.9,11,1.86,1.0,11.0,WHU,2.8,3.93,0.0,3.93
Watkins,Aston Villa,FWD,8.8,10,1.14,1.0,10.0,AVL,3.4,2.94,5.0,4.41
Nmecha,Leeds,FWD,5.0,10,2.0,1.0,10.0,LEE,2.0,5.0,5.0,7.5
Osula,Newcastle,FWD,5.5,10,1.82,1.0,10.0,NEW,2.8,3.57,0.0,3.57
Welbeck,Brighton,FWD,6.3,6,0.95,1.0,6.0,BHA,2.4,2.5,5.0,4.58
Barry,Everton,FWD,5.8,6,1.03,1.0,6.0,EVE,2.8,2.14,0.0,2.14
Raúl,Fulham,FWD,6.3,6,0.95,1.0,6.0,FUL,2.8,2.14,0.0,2.14
Šeško,Man Utd,FWD,7.3,6,0.82,1.0,6.0,MUN,2.8,2.14,0.0,2.14
Füllkrug,West Ham,FWD,5.7,6,1.05,1.0,6.0,WHU,2.8,2.14,0.0,2.14
Strand Larsen,Wolves,FWD,6.4,5,0.78,1.0,5.0,WOL,2.2,2.27,0.0,2.27
Delap,Chelsea,FWD,6.2,4,0.65,1.0,4.0,CHE,2.8,1.43,0.0,1.43
