Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
José Sá,Wolves,GKP,4.3,5,OK,1.16,0.0,1.0,5.0,WOL,1210.4666666666665,1251.1333333333334,1251.1333333333334,0.0
Ramsdale,Newcastle,GKP,4.8,3,OK,0.62,3.0,1.0,3.0,NEW,1105.2,1171.5333333333335,1171.5333333333335,0.0
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,1.0,1.0,1.0,CHE,1175.4666666666667,1175.533333333333,1175.533333333333,0.0
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0,0.0,1.0,0.0,ARS,1139.4666666666665,1165.8,1165.8,0.0
Muñoz,Crystal Palace,DEF,6.1,89,OK,14.59,15.0,1.0,89.0,CRY,1162.0666666666666,1191.6000000000001,1191.6000000000001,0.07
Guehi,Crystal Palace,DEF,5.1,83,OK,16.27,83.0,1.0,83.0,CRY,1162.0666666666666,1191.6000000000001,1191.6000000000001,0.07
J.Timber,Arsenal,DEF,6.4,78,OK,12.19,6.0,1.0,78.0,ARS,1139.4666666666665,1165.8,1165.8,0.07
Lacroix,Crystal Palace,DEF,5.1,78,OK,15.29,11.0,1.0,78.0,CRY,1162.0666666666666,1191.6000000000001,1191.6000000000001,0.07
Cash,Aston Villa,DEF,4.7,72,OK,15.32,18.0,1.0,72.0,AVL,1198.6666666666667,1194.3999999999999,1194.3999999999999,0.06
Calafiori,Arsenal,DEF,5.8,71,OK,12.24,8.0,1.0,71.0,ARS,1139.4666666666665,1165.8,1165.8,0.06
Chalobah,Chelsea,DEF,5.2,71,OK,13.65,10.0,1.0,71.0,CHE,1175.4666666666667,1175.533333333333,1175.533333333333,0.06
Mitchell,Crystal Palace,DEF,5.0,68,OK,13.6,7.0,1.0,68.0,CRY,1162.0666666666666,1191.6000000000001,1191.6000000000001,0.06
Richards,Crystal Palace,DEF,4.6,68,OK,14.78,10.0,1.0,68.0,CRY,1162.0666666666666,1191.6000000000001,1191.6000000000001,0.06
Keane,Everton,DEF,4.6,67,DOUBT,14.57,2.0,1.0,67.0,EVE,1180.4666666666667,1166.1333333333334,1166.1333333333334,0.06
Tarkowski,Everton,DEF,5.4,64,OK,11.85,13.0,1.0,64.0,EVE,1180.4666666666667,1166.1333333333334,1166.1333333333334,0.05
Senesi,Bournemouth,DEF,5.0,63,OK,12.6,2.0,1.0,63.0,BOU,1136.4666666666667,1189.4666666666665,1189.4666666666665,0.05
Van Hecke,Brighton,DEF,4.5,60,OK,13.33,18.0,1.0,60.0,BHA,1152.3999999999999,1196.9333333333332,1196.9333333333332,0.05
Burn,Newcastle,DEF,5.1,59,OK,11.57,11.0,1.0,59.0,NEW,1105.2,1171.5333333333335,1171.5333333333335,0.05
Van de Ven,Spurs,DEF,4.7,58,OK,12.34,0.0,1.0,58.0,TOT,1149.9333333333334,1208.7333333333333,1208.7333333333333,0.05
Cucurella,Chelsea,DEF,6.2,57,OK,9.19,2.0,1.0,57.0,CHE,1175.4666666666667,1175.533333333333,1175.533333333333,0.05
Ballard,Sunderland,DEF,4.6,57,OK,12.39,7.0,1.0,57.0,SUN,1173.4666666666667,1251.3999999999999,1251.3999999999999,0.05
O'Reilly,Man City,DEF,5.2,56,OK,10.77,4.0,1.0,56.0,MCI,1127.7333333333333,1160.7333333333333,1160.7333333333333,0.05
James,Chelsea,DEF,5.6,55,OK,9.82,8.0,1.0,55.0,CHE,1175.4666666666667,1175.533333333333,1175.533333333333,0.05
Mukiele,Sunderland,DEF,4.2,55,OK,13.1,0.0,1.0,55.0,SUN,1173.4666666666667,1251.3999999999999,1251.3999999999999,0.04
Virgil,Liverpool,DEF,6.0,54,OK,9.0,10.0,1.0,54.0,LIV,1119.7333333333333,1184.2666666666667,1184.2666666666667,0.05
Andersen,Fulham,DEF,4.5,53,OK,11.78,4.0,1.0,53.0,FUL,1133.7333333333331,1154.6666666666667,1154.6666666666667,0.05
Rúben,Man City,DEF,5.6,53,OK,9.46,1.0,1.0,53.0,MCI,1127.7333333333333,1160.7333333333333,1160.7333333333333,0.05
Romero,Spurs,DEF,5.0,52,OK,10.4,52.0,1.0,52.0,TOT,1149.9333333333334,1208.7333333333333,1208.7333333333333,0.04
Digne,Aston Villa,DEF,4.5,51,OK,11.33,8.0,1.0,51.0,AVL,1198.6666666666667,1194.3999999999999,1194.3999999999999,0.04
Rodon,Leeds,DEF,4.1,51,OK,12.44,2.0,1.0,51.0,LEE,1172.3333333333333,1224.6000000000001,1224.6000000000001,0.04
Konaté,Liverpool,DEF,5.4,51,OK,9.44,12.0,1.0,51.0,LIV,1119.7333333333333,1184.2666666666667,1184.2666666666667,0.04
Matheus N.,Man City,DEF,5.3,51,OK,9.62,5.0,1.0,51.0,MCI,1127.7333333333333,1160.7333333333333,1160.7333333333333,0.04
Truffert,Bournemouth,DEF,4.5,50,OK,11.11,5.0,1.0,50.0,BOU,1136.4666666666667,1189.4666666666665,1189.4666666666665,0.04
