Icon,Surname,Full_Info,Team,Appearances,Time Played - Exact,Goals From Penalties,Goals From Set Plays,Headed Goal Attempts From Set Plays,Shots From Set Plays,Corners,Corners - Successful,Crosses From Free Kick,Crosses From Free Kick - Successful,Mins,Mins_90s,Corners_per_90,FK_Crosses_per_90,SetPieceShots_per_90,Club
,Chiesa,"Chiesa Federico Chiesa (Liverpool, Midfielder)",LIV,26,513,0,0,0,3,0,0,0,0,513,5.7,0.0,0.0,0.53,Liverpool
,Christie,"Christie Ryan Christie (Bournemouth, Midfielder)",BOU,26,1085,0,0,0,4,4,1,2,0,1085,12.055555555555555,0.33,0.17,0.33,Bournemouth
,Chukwueze,"Chukwueze Samuel Chukwueze (Fulham, Midfielder)",FUL,23,1134,0,1,0,5,1,0,0,0,1134,12.6,0.08,0.0,0.4,Fulham
,Cirkin,"Cirkin Dennis Cirkin (Sunderland, Defender)",SUN,8,343,0,0,0,1,0,0,0,0,343,3.811111111111111,0.0,0.0,0.26,Sunderland
,Clyne,"Clyne Nathaniel Clyne (Crystal Palace, Defender)",CRY,10,616,0,0,0,0,0,0,0,0,616,6.844444444444444,0.0,0.0,0.0,Crystal Palace
,Coleman,"Coleman Seamus Coleman (Everton, Defender)",EVE,5,38,0,0,0,0,0,0,0,0,38,0.4222222222222222,0.0,0.0,0.0,Everton
,Collins,"Collins Nathan Collins (Brentford, Defender)",BRE,35,2990,0,1,17,19,0,0,0,0,2990,33.22222222222222,0.0,0.0,0.57,Brentford
,Colwill,"Colwill Levi Colwill (Chelsea, Defender)",CHE,3,225,0,0,0,0,0,0,0,0,225,2.5,0.0,0.0,0.0,Chelsea
,Cook,"Cook Lewis Cook (Bournemouth, Midfielder)",BOU,18,924,0,0,0,2,26,3,8,1,924,10.266666666666667,2.53,0.78,0.19,Bournemouth
,Coppola,"Coppola Diego Coppola (Brighton and Hove Albion, Defender)",BHA,5,206,0,0,0,0,0,0,0,0,206,2.2888888888888888,0.0,0.0,0.0,Brighton and Hove Albion
,Cucurella,"Cucurella Marc Cucurella (Chelsea, Defender)",CHE,34,2711,0,0,1,8,1,0,0,0,2711,30.122222222222224,0.03,0.0,0.27,Chelsea
,Cuenca,"Cuenca Jorge Cuenca (Fulham, Defender)",FUL,15,963,0,0,1,1,0,0,0,0,963,10.7,0.0,0.0,0.09,Fulham
,Cullen,"Cullen Josh Cullen (Burnley, Midfielder)",BUR,18,1510,0,0,0,7,5,2,1,1,1510,16.77777777777778,0.3,0.06,0.42,BUR
,André,"André André Trindade da Costa Neto (Wolverhampton Wanderers, Midfielder)",WOL,35,2761,0,0,0,9,19,4,10,3,2761,30.677777777777777,0.62,0.33,0.29,WOL
,Alysson Edward,"Alysson Edward Alysson Edward Franco da Rocha dos Santos (Aston Villa, Midfielder)",AVL,3,66,0,0,0,0,0,0,0,0,66,0.7333333333333333,0.0,0.0,0.0,Aston Villa
,Dalot,"Dalot José Diogo Dalot Teixeira (Manchester United, Defender)",MUN,34,2640,0,0,1,11,0,0,0,0,2640,29.333333333333332,0.0,0.0,0.38,Manchester United
,Damsgaard,"Damsgaard Mikkel Damsgaard (Brentford, Midfielder)",BRE,33,2088,0,1,2,9,43,12,14,3,2088,23.2,1.85,0.6,0.39,Brentford
,Danso,"Danso Kevin Danso (Tottenham Hotspur, Defender)",TOT,24,1538,0,0,9,11,0,0,0,0,1538,17.08888888888889,0.0,0.0,0.64,Tottenham Hotspur
,Davies,"Davies (Ben) Ben Davies (Tottenham Hotspur, Defender)",TOT,3,136,0,1,1,2,0,0,0,0,136,1.511111111111111,0.0,0.0,1.32,Tottenham Hotspur
,Richarlison,"Richarlison Richarlison de Andrade (Tottenham Hotspur, Forward)",TOT,32,2029,0,3,15,18,0,0,0,0,2029,22.544444444444444,0.0,0.0,0.8,Tottenham Hotspur
,De Cuyper,"De Cuyper Maxim De Cuyper (Brighton and Hove Albion, Defender)",BHA,30,1469,0,1,1,4,35,17,7,2,1469,16.322222222222223,2.14,0.43,0.25,Brighton and Hove Albion
,Jesus,"Jesus Gabriel Fernando de Jesus (Arsenal, Forward)",ARS,14,478,0,0,2,4,0,0,0,0,478,5.311111111111111,0.0,0.0,0.75,Arsenal
,de Ligt,"de Ligt Matthijs de Ligt (Manchester United, Defender)",MUN,13,1170,0,1,6,8,0,0,0,0,1170,13.0,0.0,0.0,0.62,Manchester United
,Evanilson,"Evanilson Francisco Evanilson de Lima Barbosa (Bournemouth, Forward)",BOU,36,2744,0,1,6,13,0,0,0,0,2744,30.488888888888887,0.0,0.0,0.43,Bournemouth
,Souza,"Souza João Victor de Souza Menezes (Tottenham Hotspur, Defender)",TOT,4,153,0,0,0,0,1,0,0,0,153,1.7,0.59,0.0,0.0,Tottenham Hotspur
,Delap,"Delap Liam Delap (Chelsea, Forward)",CHE,28,1196,0,1,2,4,0,0,0,0,1196,13.28888888888889,0.0,0.0,0.3,Chelsea
,Devenny,"Devenny Justin Devenny (Crystal Palace, Midfielder)",CRY,21,863,1,0,0,3,1,0,1,0,863,9.588888888888889,0.1,0.1,0.31,Crystal Palace
,Dewsbury-Hall,"Dewsbury-Hall Kiernan Dewsbury-Hall (Everton, Midfielder)",EVE,31,2619,0,1,1,9,43,9,20,4,2619,29.1,1.48,0.69,0.31,Everton
,Diakité,"Diakité Bafodé Diakité (Bournemouth, Defender)",BOU,18,1295,0,0,1,1,0,0,0,0,1295,14.38888888888889,0.0,0.0,0.07,Bournemouth
,Diarra,"Diarra Habib Diarra (Sunderland, Midfielder)",SUN,20,1406,1,0,0,5,0,0,0,0,1406,15.622222222222222,0.0,0.0,0.32,Sunderland
,Dibling,"Dibling Tyler Dibling (Everton, Midfielder)",EVE,14,404,0,0,0,2,0,0,0,0,404,4.488888888888889,0.0,0.0,0.45,Everton
,Digne,"Digne Lucas Digne (Aston Villa, Defender)",AVL,31,1898,0,0,0,8,38,15,3,0,1898,21.08888888888889,1.8,0.14,0.38,Aston Villa
,Diop,"Diop Issa Diop (Fulham, Defender)",FUL,13,830,0,1,2,2,0,0,0,0,830,9.222222222222221,0.0,0.0,0.22,Fulham
,Diouf,"Diouf El Hadji Malick Diouf (West Ham United, Defender)",WHU,32,2709,0,0,2,11,7,2,4,2,2709,30.1,0.23,0.13,0.37,WHU
,Disasi,"Disasi Axel Disasi (West Ham United, Defender)",WHU,14,1254,0,0,3,4,0,0,0,0,1254,13.933333333333334,0.0,0.0,0.29,WHU
,Doak,"Doak Ben Doak (Bournemouth, Midfielder)",BOU,8,170,0,0,0,0,0,0,0,0,170,1.8888888888888888,0.0,0.0,0.0,Bournemouth
