Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Van Hecke,Brighton,DEF,4.5,85,OK,18.89,7.0,1.0,85.0,BHA,1154.6666666666667,1153.428571428571,1153.428571428571,0.07,0.0,0.07794154074808028
Mitchell,Crystal Palace,DEF,5.1,85,OK,16.67,1.0,1.0,85.0,CRY,1109.6190476190477,1173.142857142857,1173.142857142857,0.07,0.0,0.07305163175840235
Thiaw,Newcastle,DEF,5.1,85,OK,16.67,10.0,1.0,85.0,NEW,1176.428571428571,1258.7142857142858,1258.7142857142858,0.07,0.0,0.07309045511292701
O'Reilly,Man City,DEF,5.0,84,DOUBT,16.8,5.0,1.0,84.0,MCI,1173.5238095238094,1210.3809523809523,1210.3809523809523,0.07,0.0,0.07229128963726493
Ballard,Sunderland,DEF,4.6,83,OK,18.04,6.0,1.0,83.0,SUN,1142.809523809524,1195.904761904762,1195.904761904762,0.07,0.0,0.07291550529585092
Konaté,Liverpool,DEF,5.4,81,DOUBT,15.0,2.0,1.0,81.0,LIV,1179.857142857143,1199.3333333333333,1199.3333333333333,0.07,0.0,0.06870483602001112
O'Brien,Everton,DEF,4.9,80,OK,16.33,13.0,1.0,80.0,EVE,1142.904761904762,1188.9047619047617,1188.9047619047617,0.07,0.0,0.07494292466055194
Gvardiol,Man City,DEF,5.9,77,OK,13.05,0.0,1.0,77.0,MCI,1173.5238095238094,1210.3809523809523,1210.3809523809523,0.06,0.0,0.06361633488079314
Truffert,Bournemouth,DEF,4.5,74,OK,16.44,7.0,1.0,74.0,BOU,1102.2380952380952,1150.4761904761904,1150.4761904761904,0.06,0.0,0.06858029801324504
Gusto,Chelsea,DEF,4.9,74,OK,15.1,1.0,1.0,74.0,CHE,1070.5238095238094,1139.952380952381,1139.952380952381,0.06,0.0,0.06552905300973308
Dorgu,Man Utd,DEF,4.4,74,OK,16.82,23.0,1.0,74.0,MUN,1114.190476190476,1147.9999999999998,1147.9999999999998,0.06,0.0,0.0784843205574913
Dalot,Man Utd,DEF,4.5,71,OK,15.78,71.0,1.0,71.0,MUN,1114.190476190476,1147.9999999999998,1147.9999999999998,0.06,0.0,0.10513937282229967
Saliba,Arsenal,DEF,6.0,70,DOUBT,11.67,9.0,1.0,70.0,ARS,1131.809523809524,1182.190476190476,1182.190476190476,0.06,0.0,0.0645412067993233
Konsa,Aston Villa,DEF,4.4,70,OK,15.91,8.0,1.0,70.0,AVL,1133.095238095238,1192.047619047619,1192.047619047619,0.06,0.0,0.06342028522350497
Digne,Aston Villa,DEF,4.5,68,OK,15.11,4.0,1.0,68.0,AVL,1133.095238095238,1192.047619047619,1192.047619047619,0.06,3.25,0.06212000159789078
Struijk,Leeds,DEF,4.3,68,OK,15.81,10.0,1.0,68.0,LEE,1239.285714285714,1192.2857142857142,1192.2857142857142,0.06,2.5,0.06500119817876827
Lewis-Potter,Brentford,DEF,4.9,67,OK,13.67,2.0,1.0,67.0,BRE,1205.2857142857144,1203.333333333333,1203.333333333333,0.06,1.25,0.057880886426592816
Hume,Sunderland,DEF,4.5,66,OK,14.67,1.0,1.0,66.0,SUN,1142.809523809524,1195.904761904762,1195.904761904762,0.06,2.75,0.058073186270606036
Kayode,Brentford,DEF,4.5,65,OK,14.44,2.0,1.0,65.0,BRE,1205.2857142857144,1203.333333333333,1203.333333333333,0.05,0.0,0.05518005540166207
Tete,Fulham,DEF,4.5,65,OK,14.44,0.0,1.0,65.0,FUL,1169.2857142857144,1212.7142857142856,1212.7142857142856,0.05,0.0,0.053598774885145486
Mykolenko,Everton,DEF,4.9,64,OK,13.06,8.0,1.0,64.0,EVE,1142.904761904762,1188.9047619047617,1188.9047619047617,0.05,0.0,0.05854127448231666
Murillo,Nott'm Forest,DEF,5.2,62,OK,11.92,62.0,1.0,62.0,NFO,1149.2857142857142,1192.8095238095236,1192.8095238095236,0.05,1.25,0.08941075492035612
F.Kadıoğlu,Brighton,DEF,4.4,59,OK,13.41,3.0,1.0,59.0,BHA,1154.6666666666667,1153.428571428571,1153.428571428571,0.05,0.0,0.05297250433490217
Gudmundsson,Leeds,DEF,3.8,55,OK,14.47,6.0,1.0,55.0,LEE,1239.285714285714,1192.2857142857142,1192.2857142857142,0.05,0.75,0.05028157201054398
Van den Berg,Brentford,DEF,4.5,53,OK,11.78,1.0,1.0,53.0,BRE,1205.2857142857144,1203.333333333333,1203.333333333333,0.04,0.0,0.044626038781163446
Dunk,Brighton,DEF,4.5,53,OK,11.78,5.0,1.0,53.0,BHA,1154.6666666666667,1153.428571428571,1153.428571428571,0.05,0.0,0.04898439435224178
Bogle,Leeds,DEF,4.4,53,OK,12.05,8.0,1.0,53.0,LEE,1239.285714285714,1192.2857142857142,1192.2857142857142,0.04,0.0,0.04914929307452672
Kerkez,Bournemouth,DEF,5.6,53,OK,9.46,1.0,1.0,53.0,BOU,1102.2380952380952,1150.4761904761904,1150.4761904761904,0.05,0.0,0.046676324503311266
Shaw,Man Utd,DEF,4.5,53,OK,11.78,6.0,1.0,53.0,MUN,1114.190476190476,1147.9999999999998,1147.9999999999998,0.05,0.0,0.04982578397212545
Hall,Newcastle,DEF,5.3,52,OK,9.81,52.0,1.0,52.0,NEW,1176.428571428571,1258.7142857142858,1258.7142857142858,0.04,0.0,0.07023039382589945
Semenyo,Man City,MID,7.4,130,OK,17.57,130.0,1.0,130.0,MCI,1173.5238095238094,1210.3809523809523,1173.5238095238094,0.11,0.0,0.1883217010225613
Rice,Arsenal,MID,6.9,126,OK,18.26,4.0,1.0,126.0,ARS,1131.809523809524,1182.190476190476,1131.809523809524,0.11,4.0,0.11733423089868729
B.Fernandes,Man Utd,MID,9.5,121,OK,12.74,15.0,1.0,121.0,MUN,1114.190476190476,1147.9999999999998,1114.190476190476,0.11,0.0,0.11802290794084967
Bruno G.,Newcastle,MID,6.8,120,OK,17.65,3.0,1.0,120.0,NEW,1176.428571428571,1258.7142857142858,1176.428571428571,0.1,0.0,0.10378870673952643
Wilson,Fulham,MID,6.1,114,OK,18.69,12.0,1.0,114.0,FUL,1169.2857142857144,1212.7142857142856,1169.2857142857144,0.1,4.5,0.10852779474648747
Rogers,Aston Villa,MID,7.7,111,OK,14.42,10.0,1.0,111.0,AVL,1133.095238095238,1192.047619047619,1133.095238095238,0.1,0.0,0.1041395251103173
Enzo,Chelsea,MID,6.7,106,OK,15.82,14.0,1.0,106.0,CHE,1070.5238095238094,1139.952380952381,1070.5238095238094,0.1,0.0,0.10817134469107247
Foden,Man City,MID,8.4,102,OK,12.14,2.0,1.0,102.0,MCI,1173.5238095238094,1210.3809523809523,1173.5238095238094,0.09,2.0,0.0898149651030677
Saka,Arsenal,MID,10.0,101,OK,10.1,3.0,1.0,101.0,ARS,1131.809523809524,1182.190476190476,1131.809523809524,0.09,4.5,0.09506900033658698
Garner,Everton,MID,5.2,101,OK,19.42,6.0,1.0,101.0,EVE,1142.904761904762,1188.9047619047617,1142.904761904762,0.09,2.0,0.0937960918295071
Gravenberch,Liverpool,MID,5.7,97,OK,17.02,3.0,1.0,97.0,LIV,1179.857142857143,1199.3333333333333,1179.857142857143,0.08,0.0,0.08399321951810146
Anderson,Nott'm Forest,MID,5.3,97,OK,18.3,11.0,1.0,97.0,NFO,1149.2857142857142,1192.8095238095236,1149.2857142857142,0.08,1.5,0.09240522063393412
Stach,Leeds,MID,4.9,95,OK,19.39,8.0,1.0,95.0,LEE,1239.285714285714,1192.2857142857142,1239.285714285714,0.08,4.0,0.0844034582132565
Neto,Chelsea,MID,7.1,94,OK,13.24,6.0,1.0,94.0,CHE,1070.5238095238094,1139.952380952381,1070.5238095238094,0.09,1.5,0.09313197811485255
Casemiro,Man Utd,MID,5.5,92,OK,16.73,5.0,1.0,92.0,MUN,1114.190476190476,1147.9999999999998,1114.190476190476,0.08,0.0,0.08571245405590223
Aaronson,Leeds,MID,5.4,91,OK,16.85,91.0,1.0,91.0,LEE,1239.285714285714,1192.2857142857142,1239.285714285714,0.07,1.25,0.12583861671469743
Gibbs-White,Nott'm Forest,MID,7.3,90,OK,12.33,9.0,1.0,90.0,NFO,1149.2857142857142,1192.8095238095236,1149.2857142857142,0.08,5.0,0.08814170292106899
Xhaka,Sunderland,MID,5.2,90,DOUBT,17.31,2.0,1.0,90.0,SUN,1142.809523809524,1195.904761904762,1142.809523809524,0.08,3.25,0.08282220092503853
Schade,Brentford,MID,7.2,88,OK,12.22,3.0,1.0,88.0,BRE,1205.2857142857144,1203.333333333333,1205.2857142857144,0.07,2.5,0.07682825648927342
Szoboszlai,Liverpool,MID,6.6,84,OK,12.73,13.0,1.0,84.0,LIV,1179.857142857143,1199.3333333333333,1179.857142857143,0.07,3.25,0.08166242886548007
Trossard,Arsenal,MID,6.8,83,OK,12.21,3.0,1.0,83.0,ARS,1131.809523809524,1182.190476190476,1131.809523809524,0.07,2.5,0.07739818243015817
Wirtz,Liverpool,MID,8.3,83,OK,10.0,83.0,1.0,83.0,LIV,1179.857142857143,1199.3333333333333,1179.857142857143,0.07,1.5,0.12086208984138515
Reijnders,Man City,MID,5.2,82,OK,15.77,82.0,1.0,82.0,MCI,1173.5238095238094,1210.3809523809523,1173.5238095238094,0.07,1.5,0.12006573608180492
Minteh,Brighton,MID,5.8,81,OK,13.97,2.0,1.0,81.0,BHA,1154.6666666666667,1153.428571428571,1154.6666666666667,0.07,0.0,0.07136258660508084
E Le Fee,Sunderland,MID,4.9,81,OK,16.53,10.0,1.0,81.0,SUN,1142.809523809524,1195.904761904762,1142.809523809524,0.07,0.0,0.07700320846701944
Cherki,Man City,MID,6.6,80,OK,12.12,80.0,1.0,80.0,MCI,1173.5238095238094,1210.3809523809523,1173.5238095238094,0.07,0.75,0.11652937834767084
M.Fernandes,West Ham,MID,5.5,80,OK,14.55,17.0,1.0,80.0,WHU,1156.952380952381,1186.6666666666663,1156.952380952381,0.07,0.0,0.07943282844912743
J.Palhinha,Spurs,MID,5.5,78,OK,14.18,0.0,1.0,78.0,TOT,1206.857142857143,1225.952380952381,1206.857142857143,0.06,0.0,0.06463068181818182
