Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
John,Nott'm Forest,GKP,4.0,11,DOUBT,2.75,1.0,1.0,11.0,NFO,1226.0000000000002,1204.2380952380952,1204.2380952380952,0.01,0.0,0.00971568666218514
Darlow,Leeds,GKP,3.9,10,OK,2.56,0.0,1.0,10.0,LEE,1149.857142857143,1147.904761904762,1147.904761904762,0.01,0.0,0.008711524101883349
Hermansen,West Ham,GKP,4.2,9,OK,2.14,0.0,1.0,9.0,WHU,1160.0952380952378,1174.6666666666667,1174.6666666666667,0.01,0.0,0.007661748013620885
Jörgensen,Chelsea,GKP,4.3,3,OK,0.7,2.0,1.0,3.0,CHE,1118.809523809524,1185.190476190476,1185.190476190476,0.0,0.0,0.003712483426413276
Gabriel,Arsenal,DEF,6.6,112,OK,16.97,112.0,1.0,112.0,ARS,1128.2857142857142,1184.904761904762,1184.904761904762,0.09,0.0,0.16068801993328777
Guéhi,Crystal Palace,DEF,4.6,105,OK,22.83,8.0,1.0,105.0,CRY,1142.428571428571,1194.6666666666663,1194.6666666666663,0.09,0.0,0.09257812500000002
J.Timber,Arsenal,DEF,6.3,104,OK,16.51,9.0,1.0,104.0,ARS,1128.2857142857142,1184.904761904762,1184.904761904762,0.09,0.0,0.0930876502029498
Chalobah,Chelsea,DEF,5.3,102,OK,19.25,8.0,1.0,102.0,CHE,1118.809523809524,1185.190476190476,1185.190476190476,0.09,0.0,0.0907870947004701
Tarkowski,Everton,DEF,5.6,100,OK,17.86,6.0,1.0,100.0,EVE,1159.47619047619,1179.904761904762,1179.904761904762,0.08,0.0,0.08831221244652514
Lacroix,Crystal Palace,DEF,5.1,98,OK,19.22,11.0,1.0,98.0,CRY,1142.428571428571,1194.6666666666663,1194.6666666666663,0.08,0.0,0.08847656250000004
Rúben,Man City,DEF,5.7,95,DOUBT,16.67,5.0,1.0,95.0,MCI,1149.5714285714284,1191.904761904762,1191.904761904762,0.08,0.0,0.08264083100279664
Matheus N.,Man City,DEF,5.5,94,OK,17.09,3.0,1.0,94.0,MCI,1149.5714285714284,1191.904761904762,1191.904761904762,0.08,0.0,0.08062724730323612
Mukiele,Sunderland,DEF,4.4,92,OK,20.91,7.0,1.0,92.0,SUN,1147.4761904761904,1186.428571428571,1186.428571428571,0.08,0.0,0.08167369054786276
Van de Ven,Spurs,DEF,4.6,89,OK,19.35,7.0,1.0,89.0,TOT,1106.904761904762,1152.6666666666667,1152.6666666666667,0.08,0.0,0.08146327356853672
Senesi,Bournemouth,DEF,4.6,88,OK,19.13,7.0,1.0,88.0,BOU,1144.190476190476,1200.6666666666667,1200.6666666666667,0.07,0.0,0.07737368128817323
Cash,Aston Villa,DEF,4.8,87,OK,18.12,11.0,1.0,87.0,AVL,1153.428571428571,1161.0,1161.0,0.07,1.5,0.08285960378983635
Mitchell,Crystal Palace,DEF,5.0,84,OK,16.8,7.0,1.0,84.0,CRY,1142.428571428571,1194.6666666666663,1194.6666666666663,0.07,0.0,0.07441406250000003
James,Chelsea,DEF,5.7,83,OK,14.56,2.0,1.0,83.0,CHE,1118.809523809524,1185.190476190476,1185.190476190476,0.07,2.0,0.07289967455502433
Virgil,Liverpool,DEF,5.9,79,OK,13.39,7.0,1.0,79.0,LIV,1103.190476190476,1165.7619047619046,1165.7619047619046,0.07,0.0,0.07197009926065114
Konaté,Liverpool,DEF,5.4,79,OK,14.63,8.0,1.0,79.0,LIV,1103.190476190476,1165.7619047619046,1165.7619047619046,0.07,0.0,0.07257056492790327
O'Reilly,Man City,DEF,5.3,79,OK,14.91,3.0,1.0,79.0,MCI,1149.5714285714284,1191.904761904762,1191.904761904762,0.07,0.0,0.06804234918098281
Van Hecke,Brighton,DEF,4.5,78,OK,17.33,9.0,1.0,78.0,BHA,1144.7142857142858,1174.9999999999998,1174.9999999999998,0.07,0.0,0.07174468085106384
Gvardiol,Man City,DEF,6.0,77,DOUBT,12.83,1.0,1.0,77.0,MCI,1149.5714285714284,1191.904761904762,1191.904761904762,0.06,0.0,0.06518977227327208
Ballard,Sunderland,DEF,4.6,77,OK,16.74,2.0,1.0,77.0,SUN,1147.4761904761904,1186.428571428571,1186.428571428571,0.06,0.0,0.06608067429259484
Alderete,Sunderland,DEF,4.1,77,OK,18.78,77.0,1.0,77.0,SUN,1147.4761904761904,1186.428571428571,1186.428571428571,0.06,0.0,0.11033112582781461
Andersen,Fulham,DEF,4.6,76,OK,16.52,5.0,1.0,76.0,FUL,1132.5238095238096,1203.1904761904764,1203.1904761904764,0.06,0.0,0.06607432619622432
Thiaw,Newcastle,DEF,5.1,75,OK,14.71,16.0,1.0,75.0,NEW,1117.857142857143,1181.3333333333333,1181.3333333333333,0.06,0.0,0.07296839729119639
Pedro Porro,Spurs,DEF,5.2,74,OK,14.23,4.0,1.0,74.0,TOT,1106.904761904762,1152.6666666666667,1152.6666666666667,0.06,4.0,0.07009832272990167
Gusto,Chelsea,DEF,5.0,73,OK,14.6,4.0,1.0,73.0,CHE,1118.809523809524,1185.190476190476,1185.190476190476,0.06,0.0,0.06395596448230143
Romero,Spurs,DEF,5.0,73,OK,14.6,5.0,1.0,73.0,TOT,1106.904761904762,1152.6666666666667,1152.6666666666667,0.06,0.0,0.06636784268363215
Cucurella,Chelsea,DEF,6.0,69,OK,11.5,-3.0,1.0,69.0,CHE,1118.809523809524,1185.190476190476,1185.190476190476,0.06,0.0,0.05644662300614731
Truffert,Bournemouth,DEF,4.5,67,OK,14.89,2.0,1.0,67.0,BOU,1144.190476190476,1200.6666666666667,1200.6666666666667,0.06,0.0,0.05696835091615769
O'Brien,Everton,DEF,4.9,67,OK,13.67,67.0,1.0,67.0,EVE,1159.47619047619,1179.904761904762,1179.904761904762,0.06,0.0,0.09653321494874485
Lewis-Potter,Brentford,DEF,4.9,65,OK,13.27,6.0,1.0,65.0,BRE,1184.6666666666667,1184.4761904761904,1184.4761904761904,0.05,1.25,0.05947776795047038
Tete,Fulham,DEF,4.5,65,OK,14.44,0.0,1.0,65.0,FUL,1132.5238095238096,1203.1904761904764,1203.1904761904764,0.05,0.0,0.05402303399691296
Hume,Sunderland,DEF,4.5,65,OK,14.44,2.0,1.0,65.0,SUN,1147.4761904761904,1186.428571428571,1186.428571428571,0.05,2.75,0.05828416616496089
Digne,Aston Villa,DEF,4.5,64,OK,14.22,10.0,1.0,64.0,AVL,1153.428571428571,1161.0,1161.0,0.06,3.25,0.06395348837209303
Kayode,Brentford,DEF,4.5,63,OK,14.0,63.0,1.0,63.0,BRE,1184.6666666666667,1184.4761904761904,1184.4761904761904,0.05,0.0,0.09041971536544183
Konsa,Aston Villa,DEF,4.4,62,OK,14.09,9.0,1.0,62.0,AVL,1153.428571428571,1161.0,1161.0,0.05,0.0,0.05882859603789836
Saliba,Arsenal,DEF,5.9,61,OK,10.34,8.0,1.0,61.0,ARS,1128.2857142857142,1184.904761904762,1184.904761904762,0.05,0.0,0.05620704898926978
N.Williams,Nott'm Forest,DEF,4.7,59,OK,12.55,5.0,1.0,59.0,NFO,1226.0000000000002,1204.2380952380952,1204.2380952380952,0.05,0.0,0.051900035588595836
Struijk,Leeds,DEF,4.3,58,OK,13.49,10.0,1.0,58.0,LEE,1149.857142857143,1147.904761904762,1147.904761904762,0.05,2.5,0.058802787687712604
Rodon,Leeds,DEF,3.9,58,OK,14.87,58.0,1.0,58.0,LEE,1149.857142857143,1147.904761904762,1147.904761904762,0.05,0.0,0.08589562764456982
F.Kadıoğlu,Brighton,DEF,4.4,56,OK,12.73,11.0,1.0,56.0,BHA,1144.7142857142858,1174.9999999999998,1174.9999999999998,0.05,0.0,0.05421276595744682
