Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Romero,Spurs,DEF,5.0,89,OK,17.8,89,1.0,89.0
Konsa,Aston Villa,DEF,4.4,88,OK,20.0,88,1.0,88.0
Calafiori,Arsenal,DEF,5.6,87,DOUBT,15.54,87,1.0,87.0
Rodon,Leeds,DEF,3.9,85,OK,21.79,85,1.0,85.0
Hume,Sunderland,DEF,4.5,85,OK,18.89,85,1.0,85.0
N.Williams,Nott'm Forest,DEF,4.7,84,OK,17.87,84,1.0,84.0
Van den Berg,Brentford,DEF,4.5,83,OK,18.44,83,1.0,83.0
Milenković,Nott'm Forest,DEF,5.1,81,OK,15.88,81,1.0,81.0
Struijk,Leeds,DEF,4.3,80,OK,18.6,80,1.0,80.0
Pedro Porro,Spurs,DEF,5.1,80,OK,15.69,80,1.0,80.0
Lewis-Potter,Brentford,DEF,4.8,79,OK,16.46,79,1.0,79.0
Diouf,West Ham,DEF,4.0,79,OK,19.75,79,1.0,79.0
Kayode,Brentford,DEF,4.5,78,OK,17.33,78,1.0,78.0
F.Kadıoğlu,Brighton,DEF,4.4,76,OK,17.27,76,1.0,76.0
Mykolenko,Everton,DEF,4.9,76,OK,15.51,76,1.0,76.0
Hill,Bournemouth,DEF,4.2,75,OK,17.86,75,1.0,75.0
Tete,Fulham,DEF,4.5,75,OK,16.67,75,1.0,75.0
Digne,Aston Villa,DEF,4.5,74,OK,16.44,74,1.0,74.0
Burn,Newcastle,DEF,5.0,74,OK,14.8,74,1.0,74.0
Kerkez,Liverpool,DEF,5.6,72,OK,12.86,72,1.0,72.0
H.Bueno,Wolves,DEF,4.3,72,OK,16.74,72,1.0,72.0
S.Bueno,Wolves,DEF,4.4,71,OK,16.14,71,1.0,71.0
Hincapie,Arsenal,DEF,5.1,70,OK,13.73,70,1.0,70.0
Ajer,Brentford,DEF,4.4,70,OK,15.91,70,1.0,70.0
Dunk,Brighton,DEF,4.5,70,OK,15.56,70,1.0,70.0
Bogle,Leeds,DEF,4.4,70,OK,15.91,70,1.0,70.0
Semenyo,Man City,MID,7.4,172,OK,23.24,172,1.0,172.0
B.Fernandes,Man Utd,MID,9.5,166,OK,17.47,166,1.0,166.0
Rice,Arsenal,MID,6.9,160,OK,23.19,160,1.0,160.0
Wilson,Fulham,MID,6.0,140,DOUBT,23.33,140,1.0,140.0
Anderson,Nott'm Forest,MID,5.5,131,OK,23.82,131,1.0,131.0
Saka,Arsenal,MID,9.8,130,OK,13.27,130,1.0,130.0
Rogers,Aston Villa,MID,7.5,130,OK,17.33,130,1.0,130.0
Garner,Everton,MID,5.2,129,OK,24.81,129,1.0,129.0
Casemiro,Man Utd,MID,5.6,127,OK,22.68,127,1.0,127.0
Enzo,Chelsea,MID,6.7,125,OK,18.66,125,1.0,125.0
Gibbs-White,Nott'm Forest,MID,7.3,122,OK,16.71,122,1.0,122.0
Gravenberch,Liverpool,MID,5.5,119,OK,21.64,119,1.0,119.0
Mbeumo,Man Utd,MID,8.7,118,OK,13.56,118,1.0,118.0
Zubimendi,Arsenal,MID,5.2,114,OK,21.92,114,1.0,114.0
Stach,Leeds,MID,4.7,114,OK,24.26,114,1.0,114.0
Dewsbury-Hall,Everton,MID,5.1,112,OK,21.96,112,1.0,112.0
Foden,Man City,MID,8.1,111,OK,13.7,111,1.0,111.0
Szoboszlai,Liverpool,MID,6.9,109,OK,15.8,109,1.0,109.0
E.Le Fée,Sunderland,MID,5.0,107,OK,21.4,107,1.0,107.0
Neto,Chelsea,MID,7.0,106,OK,15.14,106,1.0,106.0
Aaronson,Leeds,MID,5.4,105,OK,19.44,105,1.0,105.0
Tavernier,Bournemouth,MID,5.3,104,OK,19.62,104,1.0,104.0
M.Fernandes,West Ham,MID,5.5,104,OK,18.91,104,1.0,104.0
Cunha,Man Utd,MID,8.0,103,OK,12.88,103,1.0,103.0
Scott,Bournemouth,MID,5.1,101,OK,19.8,101,1.0,101.0
Gakpo,Liverpool,MID,7.3,101,OK,13.84,101,1.0,101.0
Anthony,Burnley,MID,5.0,100,OK,20.0,100,1.0,100.0
Ndiaye,Everton,MID,6.2,100,OK,16.13,100,1.0,100.0
Wirtz,Liverpool,MID,8.3,100,OK,12.05,100,1.0,100.0
Trossard,Arsenal,MID,6.7,99,DOUBT,14.78,99,1.0,99.0
Cherki,Man City,MID,6.4,99,OK,15.47,99,1.0,99.0
O.Dango,Brentford,MID,6.0,97,OK,16.17,97,1.0,97.0
Schade,Brentford,MID,6.9,97,OK,14.06,97,1.0,97.0
M.Salah,Liverpool,MID,14.0,96,OK,6.86,96,1.1,105.6
Xhaka,Sunderland,MID,5.1,94,OK,18.43,94,1.0,94.0
J.Palhinha,Spurs,MID,5.5,94,OK,17.09,94,1.0,94.0
Caicedo,Chelsea,MID,5.7,93,OK,16.32,93,1.0,93.0
Palmer,Chelsea,MID,10.6,92,OK,8.68,92,1.0,92.0
Ampadu,Leeds,MID,4.9,92,OK,18.78,92,1.0,92.0
Summerville,West Ham,MID,5.7,92,OK,16.14,92,1.0,92.0
Eze,Arsenal,MID,7.2,91,OK,12.64,91,1.0,91.0
Iwobi,Fulham,MID,6.4,91,OK,14.22,91,1.0,91.0
Sarr,Crystal Palace,MID,6.3,90,OK,14.29,90,1.0,90.0
Wharton,Crystal Palace,MID,5.0,90,OK,18.0,90,1.0,90.0
Damsgaard,Brentford,MID,5.6,85,OK,15.18,85,1.0,85.0
Minteh,Brighton,MID,5.5,85,OK,15.45,85,1.0,85.0
Reijnders,Man City,MID,5.0,85,OK,17.0,85,1.0,85.0
J.Gomes,Wolves,MID,5.3,85,OK,16.04,85,1.0,85.0
Ayari,Brighton,MID,4.8,83,OK,17.29,83,1.0,83.0
Ugochukwu,Burnley,MID,5.0,81,OK,16.2,81,1.0,81.0
Buendía,Aston Villa,MID,5.3,79,OK,14.91,79,1.0,79.0
Gomez,Brighton,MID,4.9,79,OK,16.12,79,1.0,79.0
Sessegnon,Fulham,MID,5.4,78,OK,14.44,78,1.0,78.0
Barnes,Newcastle,MID,6.1,78,OK,12.79,78,1.0,78.0
Gordon,Newcastle,MID,7.2,77,OK,10.69,77,1.0,77.0
Yarmoliuk,Brentford,MID,5.0,76,OK,15.2,76,1.0,76.0
Mac Allister,Liverpool,MID,6.2,76,OK,12.26,76,1.0,76.0
Haaland,Man City,FWD,14.1,195,OK,13.83,195,1.1,214.5
João Pedro,Chelsea,FWD,7.7,160,OK,20.78,160,1.0,160.0
Thiago,Brentford,FWD,6.5,143,OK,22.0,143,1.0,143.0
Bowen,West Ham,FWD,7.5,135,OK,18.0,135,1.0,135.0
Ekitiké,Liverpool,FWD,9.1,123,OK,13.52,123,1.0,123.0
Calvert-Lewin,Leeds,FWD,5.7,108,OK,18.95,108,1.0,108.0
Watkins,Aston Villa,FWD,8.5,100,OK,11.76,100,1.0,100.0
Raúl,Fulham,FWD,6.2,97,OK,15.65,97,1.0,97.0
Gyökeres,Arsenal,FWD,8.8,94,OK,10.68,94,1.0,94.0
Welbeck,Brighton,FWD,6.1,92,OK,15.08,92,1.0,92.0
Šeško,Man Utd,FWD,7.3,89,OK,12.19,89,1.0,89.0
Evanilson,Bournemouth,FWD,6.8,87,OK,12.79,87,1.0,87.0
Woltemade,Newcastle,FWD,6.7,86,OK,12.84,86,1.0,86.0
Mateta,Crystal Palace,FWD,7.5,84,DOUBT,11.2,84,1.0,84.0
Richarlison,Spurs,FWD,6.3,82,OK,13.02,82,1.0,82.0
Barry,Everton,FWD,5.7,74,OK,12.98,74,1.0,74.0
Kroupi.Jr,Bournemouth,FWD,4.7,72,OK,15.32,72,1.0,72.0
Igor Jesus,Nott'm Forest,FWD,5.8,71,OK,12.24,71,1.0,71.0
Wilson,West Ham,FWD,5.8,64,OK,11.03,64,1.0,64.0
Nmecha,Leeds,FWD,5.0,63,OK,12.6,63,1.0,63.0
Flemming,Burnley,FWD,5.3,62,DOUBT,11.7,62,1.0,62.0
Brobbey,Sunderland,FWD,5.4,62,DOUBT,11.48,62,1.0,62.0
Strand Larsen,Crystal Palace,FWD,6.1,61,OK,10.0,61,1.0,61.0
Isidor,Sunderland,FWD,5.1,60,OK,11.76,60,1.0,60.0
Beto,Everton,FWD,5.0,58,OK,11.6,58,1.0,58.0
Tolu,Wolves,FWD,5.4,54,OK,10.0,54,1.0,54.0
Mané,Wolves,FWD,4.5,52,OK,11.56,52,1.0,52.0
Foster,Burnley,FWD,4.9,48,OK,9.8,48,1.0,48.0
Broja,Burnley,FWD,5.2,38,DOUBT,7.31,38,1.0,38.0
Zirkzee,Man Utd,FWD,5.8,37,OK,6.38,37,1.0,37.0
Mayenda,Sunderland,FWD,5.2,37,OK,7.12,37,1.0,37.0
Kolo Muani,Spurs,FWD,6.9,37,OK,5.36,37,1.0,37.0
Delap,Chelsea,FWD,6.2,36,OK,5.81,36,1.0,36.0
Solanke,Spurs,FWD,7.2,31,OK,4.31,31,1.0,31.0
Kostoulas,Brighton,FWD,4.8,30,OK,6.25,30,1.0,30.0
Osula,Newcastle,FWD,5.4,30,OK,5.56,30,1.0,30.0
Taty,West Ham,FWD,5.5,28,OK,5.09,28,1.0,28.0
Muniz,Fulham,FWD,5.3,22,OK,4.15,22,1.0,22.0
Enes Ünal,Bournemouth,FWD,5.4,20,OK,3.7,20,1.0,20.0
Wissa,Newcastle,FWD,7.3,19,OK,2.6,19,1.0,19.0
G.Jesus,Arsenal,FWD,6.4,17,OK,2.66,17,1.0,17.0
Uche,Crystal Palace,FWD,5.5,17,OK,3.09,17,1.0,17.0
Awoniyi,Nott'm Forest,FWD,5.2,15,OK,2.88,15,1.0,15.0
Armstrong,Wolves,FWD,5.3,15,OK,2.83,15,1.0,15.0
Piroe,Leeds,FWD,4.9,14,OK,2.86,14,1.0,14.0
Abraham,Aston Villa,FWD,6.0,13,OK,2.17,13,1.0,13.0
Marc Guiu,Chelsea,FWD,4.1,12,OK,2.93,12,1.0,12.0
Havertz,Arsenal,FWD,7.3,10,OK,1.37,10,1.0,10.0
Lucca,Nott'm Forest,FWD,5.5,8,OK,1.45,8,1.0,8.0
Barnes,Burnley,FWD,4.2,4,OK,0.95,4,1.0,4.0
Kusi-Asare,Fulham,FWD,4.5,4,OK,0.89,4,1.0,4.0
Furo,Brentford,FWD,4.5,0,OK,0.0,0,1.0,0.0
Marsh,Crystal Palace,FWD,4.4,0,OK,0.0,0,1.0,0.0
Casey,Crystal Palace,FWD,4.5,0,OK,0.0,0,1.0,0.0
