Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Foden,Man City,MID,8.2,108,OK,13.17,108,1.0,108.0,MCI,1139.0,1149.5714285714284,1139.0,0.09
Zubimendi,Arsenal,MID,5.3,107,OK,20.19,107,1.0,107.0,ARS,1143.8095238095239,1161.4761904761904,1143.8095238095239,0.09
Gibbs-White,Nott'm Forest,MID,7.3,103,OK,14.11,103,1.0,103.0,NFO,1211.1904761904761,1258.333333333333,1211.1904761904761,0.09
Wirtz,Liverpool,MID,8.4,100,OK,11.9,100,1.0,100.0,LIV,1183.285714285714,1194.3333333333333,1183.285714285714,0.08
Neto,Chelsea,MID,7.0,99,OK,14.14,99,1.0,99.0,CHE,1156.0476190476188,1206.190476190476,1156.0476190476188,0.09
Aaronson,Leeds,MID,5.4,98,OK,18.15,98,1.0,98.0,LEE,1211.7142857142856,1220.5714285714284,1211.7142857142856,0.08
Stach,Leeds,MID,4.7,97,OK,20.64,97,1.0,97.0,LEE,1211.7142857142856,1220.5714285714284,1211.7142857142856,0.08
Szoboszlai,Liverpool,MID,6.7,97,OK,14.48,97,1.0,97.0,LIV,1183.285714285714,1194.3333333333333,1183.285714285714,0.08
Trossard,Arsenal,MID,6.8,95,DOUBT,13.97,95,1.0,95.0,ARS,1143.8095238095239,1161.4761904761904,1143.8095238095239,0.08
M.Fernandes,West Ham,MID,5.5,95,OK,17.27,95,1.0,95.0,WHU,1173.3809523809525,1233.904761904762,1173.3809523809525,0.08
Dewsbury-Hall,Everton,MID,4.9,93,OK,18.98,93,1.0,93.0,EVE,1188.904761904762,1251.8095238095236,1188.904761904762,0.08
Cunha,Man Utd,MID,8.1,93,OK,11.48,93,1.0,93.0,MUN,1201.0,1213.4761904761904,1201.0,0.08
Scott,Bournemouth,MID,5.0,90,OK,18.0,90,1.0,90.0,BOU,1177.7619047619048,1187.047619047619,1177.7619047619048,0.08
Cherki,Man City,MID,6.5,90,OK,13.85,90,1.0,90.0,MCI,1139.0,1149.5714285714284,1139.0,0.08
E.Le Fée,Sunderland,MID,4.9,90,OK,18.37,90,1.0,90.0,SUN,1184.8095238095236,1215.1904761904761,1184.8095238095236,0.08
Xhaka,Sunderland,MID,5.1,90,DOUBT,17.65,90,1.0,90.0,SUN,1184.8095238095236,1215.1904761904761,1184.8095238095236,0.08
Gakpo,Liverpool,MID,7.3,89,OK,12.19,89,1.0,89.0,LIV,1183.285714285714,1194.3333333333333,1183.285714285714,0.08
Ndiaye,Everton,MID,6.2,88,OK,14.19,88,1.0,88.0,EVE,1188.904761904762,1251.8095238095236,1188.904761904762,0.07
O.Dango,Brentford,MID,5.8,87,OK,15.0,87,1.0,87.0,BRE,1193.5714285714284,1191.9999999999998,1193.5714285714284,0.07
Schade,Brentford,MID,6.9,86,OK,12.46,86,1.0,86.0,BRE,1193.5714285714284,1191.9999999999998,1193.5714285714284,0.07
Caicedo,Chelsea,MID,5.7,85,OK,14.91,85,1.0,85.0,CHE,1156.0476190476188,1206.190476190476,1156.0476190476188,0.07
Anthony,Burnley,MID,5.0,84,OK,16.8,84,1.0,84.0,BUR,1195.0,1241.7619047619048,1195.0,0.07
Minteh,Brighton,MID,5.6,84,OK,15.0,84,1.0,84.0,BHA,1221.904761904762,1234.952380952381,1221.904761904762,0.07
Reijnders,Man City,MID,5.1,84,OK,16.47,84,1.0,84.0,MCI,1139.0,1149.5714285714284,1139.0,0.07
J.Palhinha,Spurs,MID,5.5,84,OK,15.27,84,1.0,84.0,TOT,1267.8095238095239,1229.6190476190477,1267.8095238095239,0.07
M.Salah,Liverpool,MID,14.0,82,OK,5.86,82,1.1,90.2,LIV,1183.285714285714,1194.3333333333333,1183.285714285714,0.08
Palmer,Chelsea,MID,10.6,79,OK,7.45,79,1.0,79.0,CHE,1156.0476190476188,1206.190476190476,1156.0476190476188,0.07
Ampadu,Leeds,MID,4.9,78,OK,15.92,78,1.0,78.0,LEE,1211.7142857142856,1220.5714285714284,1211.7142857142856,0.06
Ugochukwu,Burnley,MID,5.0,77,OK,15.4,77,1.0,77.0,BUR,1195.0,1241.7619047619048,1195.0,0.06
Summerville,West Ham,MID,5.6,77,OK,13.75,77,1.0,77.0,WHU,1173.3809523809525,1233.904761904762,1173.3809523809525,0.07
