Surname,Team,Position,Price,TP,Status,PPM
Ndiaye,Everton,MID,6.2,88,OK,14.19
O.Dango,Brentford,MID,5.8,87,OK,15.0
Schade,Brentford,MID,6.9,86,OK,12.46
Caicedo,Chelsea,MID,5.7,85,OK,14.91
Anthony,Burnley,MID,5.0,84,OK,16.8
Minteh,Brighton,MID,5.6,84,OK,15.0
Reijnders,Man City,MID,5.1,84,OK,16.47
J.Palhinha,Spurs,MID,5.5,84,OK,15.27
M.Salah,Liverpool,MID,14.0,82,OK,5.86
Palmer,Chelsea,MID,10.6,79,OK,7.45
Ampadu,Leeds,MID,4.9,78,OK,15.92
Ugochukwu,Burnley,MID,5.0,77,OK,15.4
Summerville,West Ham,MID,5.6,77,OK,13.75
Wharton,Crystal Palace,MID,5.0,76,OK,15.2
Barnes,Newcastle,MID,6.1,76,OK,12.46
Buendia,Aston Villa,MID,5.3,75,OK,14.15
Yarmoliuk,Brentford,MID,5.0,74,OK,14.8
Eze,Arsenal,MID,7.2,72,OK,10.0
Doku,Man City,MID,6.4,72,DOUBT,11.25
Sarr,Crystal Palace,MID,6.4,71,OK,11.09
Sessegnon,Fulham,MID,5.4,71,OK,13.15
Janelt,Brentford,MID,4.9,69,OK,14.08
Amad,Man Utd,MID,6.2,67,OK,10.81
Haaland,Man City,FWD,14.9,187,DOUBT,12.55
Thiago,Brentford,FWD,7.0,133,OK,19.0
João Pedro,Chelsea,FWD,7.7,132,OK,17.14
Bowen,West Ham,FWD,7.6,120,OK,15.79
Ekitiké,Liverpool,FWD,8.9,104,OK,11.69
Calvert-Lewin,Leeds,FWD,5.9,102,OK,17.29
Watkins,Aston Villa,FWD,8.6,95,OK,11.05
Woltemade,Newcastle,FWD,6.9,84,OK,12.17
Raúl,Fulham,FWD,6.1,83,OK,13.61
Gyökeres,Arsenal,FWD,8.8,78,OK,8.86
Evanilson,Bournemouth,FWD,7.0,77,OK,11.0
Welbeck,Brighton,FWD,6.1,73,OK,11.97
Seško,Man Utd,FWD,7.2,71,OK,9.86
Kroupi.Jr,Bournemouth,FWD,4.7,67,OK,14.26
Barry,Everton,FWD,5.7,65,OK,11.4
Wilson,West Ham,FWD,5.8,62,OK,10.69
Brobbey,Sunderland,FWD,5.5,61,OK,11.09
Nmecha,Leeds,FWD,5.0,60,OK,12.0
Igor Jesus,Nott'm Forest,FWD,5.8,59,OK,10.17
Isidor,Sunderland,FWD,5.1,54,OK,10.59
Strand Larsen,Crystal Palace,FWD,6.1,53,OK,8.69
Tolu,Wolves,FWD,5.4,49,OK,9.07
Flemming,Burnley,FWD,5.3,47,OK,8.87
Foster,Burnley,FWD,4.9,46,OK,9.39
Beto,Everton,FWD,5.0,46,OK,9.2
Mané,Wolves,FWD,4.6,46,OK,10.0
Zirkzee,Man Utd,FWD,5.8,35,OK,6.03
Delap,Chelsea,FWD,6.2,33,OK,5.32
Kostoulas,Brighton,FWD,4.8,30,OK,6.25
Kolo Muani,Spurs,FWD,6.9,28,OK,4.06
Mayenda,Sunderland,FWD,5.2,26,OK,5.0
Osula,Newcastle,FWD,5.4,21,OK,3.89
Solanke,Spurs,FWD,7.2,21,OK,2.92
Muniz,Fulham,FWD,5.3,19,OK,3.58
Wissa,Newcastle,FWD,7.3,18,DOUBT,2.47
G.Jesus,Arsenal,FWD,6.4,17,OK,2.66
Enes Unal,Bournemouth,FWD,5.4,17,OK,3.15
Taty,West Ham,FWD,5.5,17,OK,3.09
Uche,Crystal Palace,FWD,5.5,16,OK,2.91
Awoniyi,Nott'm Forest,FWD,5.2,13,OK,2.5
Marc Guiu,Chelsea,FWD,4.2,12,OK,2.86
Piroe,Leeds,FWD,4.9,12,OK,2.45
Havertz,Arsenal,FWD,7.3,8,DOUBT,1.1
Armstrong,Wolves,FWD,5.5,8,OK,1.45
Lucca,Nott'm Forest,FWD,5.5,7,OK,1.27
Abraham,Aston Villa,FWD,6.0,4,OK,0.67
Kusi-Asare,Fulham,FWD,4.5,4,OK,0.89
Barnes,Burnley,FWD,4.2,1,OK,0.24
Furo,Brentford,FWD,4.5,0,OK,0.0
Marsh,Crystal Palace,FWD,4.4,0,OK,0.0
Casey,Crystal Palace,FWD,4.5,0,OK,0.0
