Surname,Team,Position,Price,TP,Status,PPM
Thiaw,Newcastle,DEF,5.0,49,OK,9.8
O'Brien,Everton,DEF,4.9,48,OK,9.8
Tete,Fulham,DEF,4.5,47,OK,10.44
Konsa,Aston Villa,DEF,4.4,46,OK,10.45
Bassey,Fulham,DEF,4.5,46,OK,10.22
Dalot,Man Utd,DEF,4.4,45,OK,10.23
Livramento,Newcastle,DEF,4.9,45,OK,9.18
Hume,Sunderland,DEF,4.5,45,OK,10.0
Diouf,West Ham,DEF,4.2,44,OK,10.48
De Ligt,Man Utd,DEF,5.0,43,OK,8.6
N.Williams,Nott'm Forest,DEF,4.7,43,OK,9.15
Hartman,Burnley,DEF,4.0,42,OK,10.5
Saliba,Arsenal,DEF,6.0,41,DOUBT,6.83
Estève,Burnley,DEF,3.9,41,OK,10.51
Diakité,Bournemouth,DEF,4.4,41,OK,9.32
Collins,Brentford,DEF,4.9,41,OK,8.37
Van den Berg,Brentford,DEF,4.5,41,OK,9.11
De Cuyper,Brighton,DEF,4.3,40,OK,9.3
Pau,Aston Villa,DEF,4.3,39,OK,9.07
Kayode,Brentford,DEF,4.5,38,OK,8.44
Mykolenko,Everton,DEF,4.9,38,OK,7.76
Dunk,Brighton,DEF,4.5,37,OK,8.22
Spence,Spurs,DEF,4.4,37,OK,8.41
Bogle,Leeds,DEF,4.4,34,DOUBT,7.73
Shaw,Man Utd,DEF,4.5,34,OK,7.56
B.Fernandes,Man Utd,MID,9.0,85,OK,9.44
Rice,Arsenal,MID,7.1,84,OK,11.83
Semenyo,Bournemouth,MID,7.6,83,OK,10.92
Bruno G.,Newcastle,MID,6.9,81,OK,11.74
Foden,Man City,MID,8.6,77,OK,8.95
Dewsbury-Hall,Everton,MID,5.1,74,OK,14.51
Mbeumo,Man Utd,MID,8.4,72,OK,8.57
Ndiaye,Everton,MID,6.5,71,OK,10.92
Neto,Chelsea,MID,7.3,70,OK,9.59
Minteh,Brighton,MID,6.3,69,OK,10.95
Enzo,Chelsea,MID,6.6,66,OK,10.0
Gravenberch,Liverpool,MID,5.6,66,OK,11.79
Gakpo,Liverpool,MID,7.5,65,OK,8.67
Xhaka,Sunderland,MID,5.2,65,OK,12.5
Kudus,Spurs,MID,6.5,65,OK,10.0
Saka,Arsenal,MID,10.2,64,OK,6.27
Cullen,Burnley,MID,5.0,63,OK,12.6
O.Dango,Brentford,MID,6.0,62,OK,10.33
Grealish,Everton,MID,6.6,62,OK,9.39
Wilson,Fulham,MID,5.3,62,OK,11.7
Stach,Leeds,MID,4.8,62,OK,12.92
Anderson,Nott'm Forest,MID,5.4,62,OK,11.48
Rogers,Aston Villa,MID,6.9,61,OK,8.84
Tavernier,Bournemouth,MID,5.5,61,OK,11.09
Casemiro,Man Utd,MID,5.5,61,OK,11.09
J.Palhinha,Spurs,MID,5.5,61,OK,11.09
Szoboszlai,Liverpool,MID,6.6,59,OK,8.94
Doku,Man City,MID,6.6,59,OK,8.94
Trossard,Arsenal,MID,6.9,58,OK,8.41
Anthony,Burnley,MID,5.3,57,OK,10.75
Garner,Everton,MID,5.0,56,OK,11.2
Sessegnon,Fulham,MID,5.4,56,DOUBT,10.37
E Le Fee,Sunderland,MID,4.9,56,OK,11.43
Gibbs-White,Nott'm Forest,MID,7.3,55,OK,7.53
Wieffer,Brighton,MID,4.9,54,OK,11.02
Iwobi,Fulham,MID,6.4,54,OK,8.44
Merino,Arsenal,MID,6.0,51,OK,8.5
Kamara,Aston Villa,MID,4.9,50,OK,10.2
Amad,Man Utd,MID,6.3,49,OK,7.78
Buendía,Aston Villa,MID,5.3,48,OK,9.06
Wharton,Crystal Palace,MID,5.0,48,OK,9.6
Aaronson,Leeds,MID,5.4,48,OK,8.89
Talbi,Sunderland,MID,5.0,48,OK,9.6
Malen,Aston Villa,MID,5.1,46,OK,9.02
Scott,Bournemouth,MID,5.0,46,OK,9.2
Reijnders,Man City,MID,5.3,46,OK,8.68
Bentancur,Spurs,MID,5.3,45,OK,8.49
Henderson,Brentford,MID,5.0,44,OK,8.8
Georginio,Brighton,MID,5.6,44,OK,7.86
Kamada,Crystal Palace,MID,5.0,44,OK,8.8
Barnes,Newcastle,MID,6.4,44,OK,6.88
McGinn,Aston Villa,MID,5.4,43,OK,7.96
Haaland,Man City,FWD,15.0,122,OK,8.13
Thiago,Brentford,FWD,6.9,80,OK,11.59
Bowen,West Ham,FWD,7.5,66,OK,8.8
João Pedro,Chelsea,FWD,7.3,64,OK,8.77
Mateta,Crystal Palace,FWD,8.0,61,OK,7.62
Richarlison,Spurs,FWD,6.4,59,OK,9.22
Welbeck,Brighton,FWD,6.6,58,OK,8.79
Woltemade,Newcastle,FWD,7.5,56,OK,7.47
Ekitiké,Liverpool,FWD,8.4,55,OK,6.55
Calvert-Lewin,Leeds,FWD,5.5,48,OK,8.73
Isidor,Sunderland,FWD,5.6,47,OK,8.39
Watkins,Aston Villa,FWD,8.5,45,OK,5.29
Wilson,West Ham,FWD,5.8,42,OK,7.24
Gyökeres,Arsenal,FWD,8.8,39,OK,4.43
Raúl,Fulham,FWD,6.2,39,OK,6.29
Evanilson,Bournemouth,FWD,7.0,38,OK,5.43
Nmecha,Leeds,FWD,5.0,37,DOUBT,7.4
Kroupi.Jr,Bournemouth,FWD,4.6,35,OK,7.61
Flemming,Burnley,FWD,5.3,34,OK,6.42
Foster,Burnley,FWD,5.0,34,OK,6.8
Igor Jesus,Nott'm Forest,FWD,5.8,29,OK,5.0
Strand Larsen,Wolves,FWD,6.2,28,OK,4.52
Beto,Everton,FWD,5.1,25,OK,4.9
Barry,Everton,FWD,5.7,23,OK,4.04
Brobbey,Sunderland,FWD,5.5,23,OK,4.18
Isak,Liverpool,FWD,10.4,22,OK,2.12
Nketiah,Crystal Palace,FWD,5.4,19,OK,3.52
Zirkzee,Man Utd,FWD,5.8,17,OK,2.93
Mayenda,Sunderland,FWD,5.3,17,OK,3.21
Toti,Wolves,FWD,5.4,13,OK,2.41
Delap,Chelsea,FWD,6.2,12,OK,1.94
Marc Guiu,Chelsea,FWD,4.2,12,OK,2.86
Kolo Muani,Spurs,FWD,6.9,12,OK,1.74
Füllkrug,West Ham,FWD,5.6,12,OK,2.14
Broja,Burnley,FWD,5.2,10,OK,1.92
Kostoulas,Brighton,FWD,4.8,10,OK,2.08
Enes Ünal,Bournemouth,FWD,5.4,9,OK,1.67
Pirqe,Leeds,FWD,5.0,9,OK,1.8
Kalimuendo,Nott'm Forest,FWD,6.0,7,OK,1.17
Uche,Crystal Palace,FWD,5.5,5,OK,0.91
Mané,Wolves,FWD,4.5,4,OK,0.89
Kusi-Asare,Fulham,FWD,4.5,2,OK,0.44
Solanke,Spurs,FWD,7.2,2,DOUBT,0.28
Havertz,Arsenal,FWD,7.3,1,OK,0.14
Barnes,Burnley,FWD,4.3,1,OK,0.23
Wissa,Newcastle,FWD,7.3,1,OK,0.14
Morgan,Brentford,FWD,4.4,0,OK,0.0
Marsh,Crystal Palace,FWD,4.5,0,OK,0.0
Gray,Leeds,FWD,4.5,0,OK,0.0
