Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Form_Factor,Raw_Form,Adjusted_Form,Form_Efficiency,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
White,Arsenal,DEF,5.5,169,OK,30.73,21,20.0,20.0,23.88,1.44,1.0,169.0,ARS,1143.3333333333337,1194.5714285714284,1194.5714285714284,0.14,0.0,0.15546663477636932
Muharemović,Leeds,DEF,5.0,182,OK,36.4,21,14.0,14.0,17.08,1.05,1.0,182.0,LEE,1190.428571428571,1204.4761904761904,1204.4761904761904,0.15,0.0,0.1610293350201629
Branthwaite,Everton,DEF,5.5,151,OK,27.45,19,13.0,13.0,15.94,0.98,1.0,151.0,EVE,1108.4285714285716,1089.5238095238094,1089.5238095238094,0.14,0.0,0.1488338286713287
Castagne,Fulham,DEF,4.5,157,OK,34.89,19,13.0,13.0,14.86,0.96,1.0,157.0,FUL,1121.5238095238094,1167.2380952380954,1167.2380952380954,0.13,0.0,0.1434171834203655
Murillo,Nott'm Forest,DEF,5.5,161,OK,29.27,19,13.0,13.0,15.77,0.98,1.0,161.0,NFO,1141.4761904761904,1171.7619047619046,1171.7619047619046,0.14,1.25,0.14788755232250986
Justin,Leeds,DEF,4.5,156,OK,34.67,18,16.0,16.0,19.53,1.2,1.0,156.0,LEE,1190.428571428571,1204.4761904761904,1204.4761904761904,0.13,0.0,0.1408670435676445
Jacquet,Liverpool,DEF,5.0,159,OK,31.8,18,9.0,9.0,10.03,0.62,1.0,159.0,LIV,1132.809523809524,1248.3333333333333,1248.3333333333333,0.13,0.0,0.13299412550066755
Hall,Newcastle,DEF,5.2,153,OK,29.42,18,18.0,18.0,21.06,1.33,1.0,153.0,NEW,1092.0476190476188,1075.7142857142858,1075.7142857142858,0.14,4.0,0.15965391766268258
Van Hecke,Spurs,DEF,4.9,166,OK,33.88,18,10.0,10.0,11.61,0.73,1.0,166.0,TOT,1173.904761904762,1217.5238095238096,1217.5238095238096,0.14,0.0,0.1430173263454318
Kayode,Brentford,DEF,4.6,152,OK,33.04,17,16.0,16.0,17.62,1.14,1.0,152.0,BRE,1162.0,1215.2857142857142,1215.2857142857142,0.13,0.0,0.13522252262842366
Mitchell,Crystal Palace,DEF,4.5,156,OK,34.67,17,16.0,16.0,16.98,1.16,1.0,156.0,CRY,1114.3809523809523,1145.047619047619,1145.047619047619,0.14,0.0,0.14661922980953174
Virgil,Liverpool,DEF,6.5,164,OK,25.23,17,11.0,11.0,13.16,0.76,1.0,164.0,LIV,1132.809523809524,1248.3333333333333,1248.3333333333333,0.13,0.0,0.13875460614152202
N.Williams,Nott'm Forest,DEF,5.0,155,OK,31.0,17,15.0,15.0,18.05,1.13,1.0,155.0,NFO,1141.4761904761904,1171.7619047619046,1171.7619047619046,0.13,0.75,0.143702401755598
Rúben,Man City,DEF,5.5,144,OK,26.18,16,10.0,10.0,12.15,0.74,1.0,144.0,MCI,1177.047619047619,1157.190476190476,1157.190476190476,0.12,0.0,0.13178902102794127
Thomas,Coventry City,DEF,4.0,132,OK,33.0,15,15.0,15.0,18.37,1.1,1.0,132.0,COV,1123.6666666666663,1184.2857142857142,1184.2857142857142,0.11,0.0,0.12231761158021714
Araujo,Liverpool,DEF,5.4,138,OK,25.56,15,9.0,9.0,10.81,0.62,1.0,138.0,LIV,1132.809523809524,1248.3333333333333,1248.3333333333333,0.11,0.0,0.1166090787716956
Van de Ven,Spurs,DEF,5.0,137,OK,27.4,15,9.0,9.0,10.45,0.66,1.0,137.0,TOT,1173.904761904762,1217.5238095238096,1217.5238095238096,0.11,0.0,0.11853156289111388
Ajer,Brentford,DEF,4.5,122,OK,27.11,14,13.0,13.0,14.49,0.93,1.0,122.0,BRE,1162.0,1215.2857142857142,1215.2857142857142,0.1,0.0,0.10873410132831786
Boscagli,Brighton,DEF,4.5,107,OK,23.78,13,8.0,8.0,9.36,0.58,1.0,107.0,BHA,1258.809523809524,1249.7142857142858,1249.7142857142858,0.09,0.0,0.09086236854138087
Khalaili,Crystal Palace,DEF,5.0,121,OK,24.2,13,13.0,13.0,15.32,0.94,1.0,121.0,CRY,1114.3809523809523,1145.047619047619,1145.047619047619,0.11,0.0,0.1150380104799135
Maitland-Niles,Everton,DEF,4.5,119,OK,26.44,13,7.0,7.0,8.13,0.53,1.0,119.0,EVE,1108.4285714285716,1089.5238095238094,1089.5238095238094,0.11,0.0,0.11444541083916085
Coyle,Hull City,DEF,4.0,116,OK,29.0,13,12.0,12.0,13.67,0.89,1.0,116.0,HUL,1123.095238095238,1127.0476190476188,1127.0476190476188,0.1,0.0,0.11141410343079265
Dedić,Newcastle,DEF,4.5,119,OK,26.44,13,13.0,13.0,15.5,0.96,1.0,119.0,NEW,1092.0476190476188,1075.7142857142858,1075.7142857142858,0.11,0.0,0.12071049136786187
Robertson,Spurs,DEF,4.4,110,OK,25.0,13,5.0,5.0,6.07,0.37,1.0,110.0,TOT,1173.904761904762,1217.5238095238096,1217.5238095238096,0.09,0.75,0.09445318366708384
Mukiele,Sunderland,DEF,5.4,129,OK,23.89,13,13.0,13.0,15.7,0.94,1.0,129.0,SUN,1166.7619047619048,1251.0476190476188,1251.0476190476188,0.1,0.0,0.11189821863581001
Mosquera,Arsenal,DEF,5.3,99,OK,18.68,12,12.0,12.0,14.55,0.87,1.0,99.0,ARS,1143.3333333333337,1194.5714285714284,1194.5714285714284,0.08,0.0,0.09140098062664435
Bijol,Leeds,DEF,5.0,111,OK,22.2,12,12.0,12.0,14.57,0.9,1.0,111.0,LEE,1190.428571428571,1204.4761904761904,1204.4761904761904,0.09,0.0,0.10062382383173876
Milenković,Nott'm Forest,DEF,5.5,115,OK,20.91,12,12.0,12.0,14.45,0.9,1.0,115.0,NFO,1141.4761904761904,1171.7619047619046,1171.7619047619046,0.1,0.0,0.10677510464501973
Ballard,Sunderland,DEF,4.9,114,OK,23.27,12,12.0,12.0,14.56,0.87,1.0,114.0,SUN,1166.7619047619048,1251.0476190476188,1251.0476190476188,0.09,0.0,0.0992704019488429
Konsa,Arsenal,DEF,4.5,104,OK,23.11,11,0.0,0.0,0.0,0.0,1.0,104.0,ARS,1143.3333333333337,1194.5714285714284,1194.5714285714284,0.09,0.0,0.08706051183927291
Botman,Newcastle,DEF,5.0,101,OK,20.2,11,9.0,9.0,10.58,0.67,1.0,101.0,NEW,1092.0476190476188,1075.7142857142858,1075.7142857142858,0.09,0.0,0.10077583001328021
Meunier,Sunderland,DEF,4.5,103,OK,22.89,11,9.0,9.0,10.72,0.65,1.0,103.0,SUN,1166.7619047619048,1251.0476190476188,1251.0476190476188,0.08,0.0,0.08832917174177835
Silva,Bournemouth,DEF,5.0,81,OK,16.2,10,7.0,7.0,7.96,0.52,1.0,81.0,BOU,1182.5238095238096,1262.7619047619046,1262.7619047619046,0.06,0.0,0.06855765894863868
Collins,Brentford,DEF,5.4,102,OK,18.89,10,10.0,10.0,11.11,0.72,1.0,102.0,BRE,1162.0,1215.2857142857142,1215.2857142857142,0.08,0.0,0.09033019865992713
Lacroix,Chelsea,DEF,6.0,107,OK,17.83,10,9.0,9.0,10.51,0.63,1.0,107.0,CHE,1133.2857142857142,1172.9047619047617,1172.9047619047617,0.09,0.0,0.09749896471925623
Robinson,Fulham,DEF,4.5,89,OK,19.78,10,0.0,0.0,0.0,0.0,1.0,89.0,FUL,1121.5238095238094,1167.2380952380954,1167.2380952380954,0.08,2.5,0.07839017624020887
Matheus N.,Man City,DEF,5.9,102,OK,17.29,10,10.0,10.0,11.94,0.74,1.0,102.0,MCI,1177.047619047619,1157.190476190476,1157.190476190476,0.09,2.5,0.09752759145714171
Thiaw,Newcastle,DEF,5.0,101,OK,20.2,10,9.0,9.0,10.69,0.67,1.0,101.0,NEW,1092.0476190476188,1075.7142857142858,1075.7142857142858,0.09,0.0,0.10084741035856573
Jair Cunha,Nott'm Forest,DEF,4.5,96,OK,21.33,10,10.0,10.0,11.88,0.75,1.0,96.0,NFO,1141.4761904761904,1171.7619047619046,1171.7619047619046,0.08,0.0,0.08902491161051734
Maatsen,Aston Villa,DEF,4.5,79,OK,17.56,9,8.0,8.0,9.39,0.58,1.0,79.0,AVL,1154.857142857143,1189.857142857143,1189.857142857143,0.07,0.0,0.07191871773322128
Bassey,Fulham,DEF,4.5,89,OK,19.78,9,9.0,9.0,10.73,0.66,1.0,89.0,FUL,1121.5238095238094,1167.2380952380954,1167.2380952380954,0.08,0.0,0.082683216383812
Khusanov,Man City,DEF,5.4,82,OK,15.19,9,9.0,9.0,10.9,0.67,1.0,82.0,MCI,1177.047619047619,1157.190476190476,1157.190476190476,0.07,0.0,0.07745483724949592
Hume,Sunderland,DEF,4.4,90,OK,20.45,9,9.0,9.0,10.63,0.65,1.0,90.0,SUN,1166.7619047619048,1251.0476190476188,1251.0476190476188,0.07,0.75,0.07848702040194885
Hill,Bournemouth,DEF,5.5,83,OK,15.09,8,5.0,5.0,5.59,0.37,1.0,83.0,BOU,1182.5238095238096,1262.7619047619046,1262.7619047619046,0.07,0.0,0.06882770193830606
Truffert,Bournemouth,DEF,5.5,94,OK,17.09,8,5.0,5.0,5.59,0.37,1.0,94.0,BOU,1182.5238095238096,1262.7619047619046,1262.7619047619046,0.07,0.0,0.07753876612112529
Groß,Brighton,MID,5.7,266,OK,46.67,33,16.0,16.0,18.59,0.88,1.0,266.0,BHA,1258.809523809524,1249.7142857142858,1258.809523809524,0.21,6.5,0.22681191602042738
Saka,Arsenal,MID,9.5,259,OK,27.26,30,22.0,22.0,25.54,1.19,1.08,279.72,ARS,1143.3333333333337,1194.5714285714284,1143.3333333333337,0.24,7.0,0.2664122448979591
Schade,Brentford,MID,6.1,253,OK,41.48,30,15.0,15.0,17.29,0.8,1.0,253.0,BRE,1162.0,1215.2857142857142,1162.0,0.22,2.5,0.23029518072289157
Tavernier,Bournemouth,MID,6.1,248,OK,40.66,29,21.0,21.0,24.47,1.18,1.0,248.0,BOU,1182.5238095238096,1262.7619047619046,1182.5238095238096,0.21,6.5,0.22970277453388635
Gakpo,Liverpool,MID,7.2,247,OK,34.31,29,28.0,28.0,32.38,1.53,1.0,247.0,LIV,1132.809523809524,1248.3333333333333,1132.809523809524,0.22,3.25,0.2409195846819958
B.Fernandes,Man Utd,MID,12.0,267,OK,22.25,29,27.0,27.0,31.24,1.46,1.1,293.7,MUN,1091.571428571429,1140.047619047619,1091.571428571429,0.27,9.0,0.29734013872529763
Scott,Bournemouth,MID,6.1,240,OK,39.34,28,24.0,24.0,27.61,1.35,1.0,240.0,BOU,1182.5238095238096,1262.7619047619046,1182.5238095238096,0.2,2.0,0.22099089920670073
Ødegaard,Arsenal,MID,6.8,220,OK,32.35,27,24.0,24.0,26.95,1.3,1.0,220.0,ARS,1143.3333333333337,1194.5714285714284,1143.3333333333337,0.19,2.5,0.21110641399416905
Rogers,Chelsea,MID,7.7,239,OK,31.04,27,19.0,19.0,22.62,1.06,1.0,239.0,CHE,1133.2857142857142,1172.9047619047617,1133.2857142857142,0.21,0.75,0.22552476994831716
Belloumi,Hull City,MID,5.1,227,OK,44.51,27,14.0,14.0,16.06,0.77,1.0,227.0,HUL,1123.095238095238,1127.0476190476188,1123.095238095238,0.2,0.0,0.21212982828068688
Palmer,Chelsea,MID,9.7,220,OK,22.68,26,21.0,21.0,25.98,1.17,1.08,237.6,CHE,1133.2857142857142,1172.9047619047617,1133.2857142857142,0.21,7.0,0.23187974284633808
Cherki,Man City,MID,7.8,225,OK,28.85,26,25.0,25.0,27.91,1.38,1.0,225.0,MCI,1177.047619047619,1157.190476190476,1177.047619047619,0.19,3.25,0.21051569706286918
Gibbs-White,Nott'm Forest,MID,8.0,235,OK,29.38,26,18.0,18.0,20.24,1.01,1.0,235.0,NFO,1141.4761904761904,1171.7619047619046,1141.4761904761904,0.21,5.75,0.22332309874431608
Janelt,Brentford,MID,5.0,205,OK,41.0,25,21.0,21.0,22.18,1.12,1.0,205.0,BRE,1162.0,1215.2857142857142,1162.0,0.18,0.75,0.19042685025817557
Mbeumo,Man Utd,MID,7.9,204,OK,25.82,23,21.0,21.0,25.17,1.14,1.0,204.0,MUN,1091.571428571429,1140.047619047619,1091.571428571429,0.19,2.0,0.20485970422719532
M.Sangaré,Brentford,MID,5.7,185,OK,32.46,22,18.0,18.0,19.88,0.96,1.0,185.0,BRE,1162.0,1215.2857142857142,1162.0,0.16,0.0,0.171184165232358
King,Fulham,MID,5.5,180,OK,32.73,22,19.0,19.0,21.74,1.06,1.0,180.0,FUL,1121.5238095238094,1167.2380952380954,1121.5238095238094,0.16,0.0,0.17406496263586957
Stach,Leeds,MID,6.0,195,OK,32.5,22,19.0,19.0,22.22,1.04,1.0,195.0,LEE,1190.428571428571,1204.4761904761904,1190.428571428571,0.16,4.0,0.18023256930277215
Rice,Arsenal,MID,7.4,181,OK,24.46,19,13.0,13.0,14.77,0.71,1.0,181.0,ARS,1143.3333333333337,1194.5714285714284,1143.3333333333337,0.16,4.0,0.1708504373177842
Lewis-Potter,Brentford,MID,5.5,168,OK,30.55,19,18.0,18.0,20.03,0.96,1.0,168.0,BRE,1162.0,1215.2857142857142,1162.0,0.14,1.25,0.15772030981067126
Yalcouyé,Brighton,MID,4.5,163,OK,36.22,19,11.0,11.0,12.69,0.61,1.0,163.0,BHA,1258.809523809524,1249.7142857142858,1258.809523809524,0.13,0.0,0.1365440892755816
Barnes,Newcastle,MID,6.0,166,OK,27.67,19,17.0,17.0,18.31,0.94,1.0,166.0,NEW,1092.0476190476188,1075.7142857142858,1092.0476190476188,0.15,0.0,0.1637446910565561
Xhaka,Sunderland,MID,5.5,169,OK,30.73,19,18.0,18.0,21.53,1.02,1.0,169.0,SUN,1166.7619047619048,1251.0476190476188,1166.7619047619048,0.14,2.75,0.16011921475797894
Kamada,Crystal Palace,MID,5.0,150,OK,30.0,18,10.0,10.0,11.42,0.55,1.0,150.0,CRY,1114.3809523809523,1145.047619047619,1114.3809523809523,0.13,0.75,0.14245038885565336
George,Everton,MID,5.5,140,OK,25.45,18,15.0,15.0,16.65,0.81,1.0,140.0,EVE,1108.4285714285716,1089.5238095238094,1108.4285714285716,0.13,0.0,0.1368198221420286
Szoboszlai,Liverpool,MID,7.0,169,OK,24.14,18,15.0,15.0,17.13,0.82,1.0,169.0,LIV,1132.809523809524,1248.3333333333333,1132.809523809524,0.15,9.0,0.16771663373828236
Mainoo,Man Utd,MID,5.5,151,OK,27.45,18,14.0,14.0,17.95,0.76,1.0,151.0,MUN,1091.571428571429,1140.047619047619,1091.571428571429,0.14,0.0,0.1498436068577411
Elanga,Newcastle,MID,6.2,146,OK,23.55,18,18.0,18.0,20.55,0.99,1.0,146.0,NEW,1092.0476190476188,1075.7142857142858,1092.0476190476188,0.13,0.75,0.14755308943443948
Dewsbury-Hall,Everton,MID,6.5,159,OK,24.46,17,15.0,15.0,15.9,0.81,1.0,159.0,EVE,1108.4285714285716,1089.5238095238094,1108.4285714285716,0.14,2.0,0.15529191906173473
Ndiaye,Man City,MID,5.9,155,OK,26.27,17,16.0,16.0,19.01,0.89,1.0,155.0,MCI,1177.047619047619,1157.190476190476,1177.047619047619,0.13,0.0,0.14299081640909458
Hinshelwood,Brighton,MID,5.9,140,OK,23.73,16,16.0,16.0,18.14,0.88,1.0,140.0,BHA,1258.809523809524,1249.7142857142858,1258.809523809524,0.11,0.0,0.12130349914885566
Gomez,Brighton,MID,5.0,141,OK,28.2,16,13.0,13.0,14.8,0.72,1.0,141.0,BHA,1258.809523809524,1249.7142857142858,1258.809523809524,0.11,1.25,0.12123359182901455
Ampadu,Leeds,MID,5.4,148,OK,27.41,16,9.0,9.0,10.45,0.49,1.0,148.0,LEE,1190.428571428571,1204.4761904761904,1190.428571428571,0.12,0.0,0.13046981879275174
Semenyo,Man City,MID,8.4,162,OK,19.29,16,13.0,13.0,14.77,0.72,1.08,174.96,MCI,1177.047619047619,1157.190476190476,1177.047619047619,0.15,1.25,0.15848891496075734
Cunha,Man Utd,MID,7.9,150,OK,18.99,16,14.0,14.0,16.46,0.76,1.0,150.0,MUN,1091.571428571429,1140.047619047619,1091.571428571429,0.14,0.0,0.147971993194608
Kluivert,Bournemouth,MID,6.0,122,OK,20.33,15,6.0,6.0,6.8,0.34,1.0,122.0,BOU,1182.5238095238096,1262.7619047619046,1182.5238095238096,0.1,6.25,0.1124797648290581
Okafor,Leeds,MID,5.8,136,OK,23.45,15,15.0,15.0,17.05,0.82,1.0,136.0,LEE,1190.428571428571,1204.4761904761904,1190.428571428571,0.11,0.0,0.12427037081483262
Tzolis,Arsenal,MID,6.4,133,OK,20.78,14,11.0,11.0,12.27,0.6,1.0,133.0,ARS,1143.3333333333337,1194.5714285714284,1143.3333333333337,0.12,0.75,0.12449475218658888
Armstrong,Everton,MID,5.0,111,OK,22.2,14,11.0,11.0,11.7,0.6,1.0,111.0,EVE,1108.4285714285716,1089.5238095238094,1108.4285714285716,0.1,0.0,0.10753060961464105
Munoz,Liverpool,MID,6.5,134,OK,20.62,14,13.0,13.0,14.52,0.71,1.0,134.0,LIV,1132.809523809524,1248.3333333333333,1132.809523809524,0.12,0.0,0.12726234814410017
Ndoye,Nott'm Forest,MID,5.5,116,OK,21.09,14,13.0,13.0,14.79,0.73,1.0,116.0,NFO,1141.4761904761904,1171.7619047619046,1141.4761904761904,0.1,0.75,0.11134967252096284
Damsgaard,Brentford,MID,5.4,121,OK,22.41,13,12.0,12.0,12.31,0.64,1.0,121.0,BRE,1162.0,1215.2857142857142,1162.0,0.1,2.0,0.11326764199655764
Slater,Hull City,MID,4.5,118,OK,26.22,13,11.0,11.0,12.17,0.61,1.0,118.0,HUL,1123.095238095238,1127.0476190476188,1123.095238095238,0.11,1.5,0.11398766164935341
Enciso,Ipswich Town,MID,5.5,122,OK,22.18,13,11.0,11.0,13.08,0.63,1.0,122.0,IPS,1160.2857142857144,1179.190476190476,1160.2857142857144,0.11,0.0,0.11303767544939669
Anderson,Man City,MID,6.3,135,OK,21.43,13,8.0,8.0,9.5,0.44,1.0,135.0,MCI,1177.047619047619,1157.190476190476,1177.047619047619,0.11,1.5,0.12161784934056154
E.Le Fée,Sunderland,MID,5.8,128,OK,22.07,13,13.0,13.0,18.19,0.73,1.0,128.0,SUN,1166.7619047619048,1251.0476190476188,1166.7619047619048,0.11,4.5,0.12447526732511631
