Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score
Buendía,Aston Villa,MID,5.3,17,OK,3.21,1.0,17.0,AVL,3.0,5.67
Schade,Brentford,MID,7.0,17,OK,2.43,1.0,17.0,BRE,3.4,5.0
Damsgaard,Brentford,MID,5.8,17,OK,2.93,1.0,17.0,BRE,3.4,5.0
Gruda,Brighton,MID,5.4,17,OK,3.15,1.0,17.0,BHA,2.0,8.5
Lukić,Fulham,MID,5.0,17,OK,3.4,1.0,17.0,FUL,2.8,6.07
Foden,Man City,MID,8.1,17,OK,2.1,1.0,17.0,MCI,2.6,6.54
Hudson-Odoi,Nott'm Forest,MID,6.0,17,OK,2.83,1.0,17.0,NFO,2.6,6.54
Eze,Arsenal,MID,7.6,16,OK,2.11,1.0,16.0,ARS,2.0,8.0
Adams,Bournemouth,MID,5.0,16,OK,3.2,1.0,16.0,BOU,3.0,5.33
Brooks,Bournemouth,MID,5.0,16,OK,3.2,1.0,16.0,BOU,3.0,5.33
Kamada,Crystal Palace,MID,5.0,16,OK,3.2,1.0,16.0,CRY,3.0,5.33
Wharton,Crystal Palace,MID,5.0,16,OK,3.2,1.0,16.0,CRY,3.0,5.33
Haaland,Man City,FWD,14.4,62,OK,4.31,1.5,93.0,MCI,2.6,35.77
João Pedro,Chelsea,FWD,7.7,37,OK,4.81,1.2,44.4,CHE,2.4,18.5
Bowen,West Ham,FWD,7.7,33,OK,4.29,1.0,33.0,WHU,2.6,12.69
Ekitiké,Liverpool,FWD,8.7,32,DOUBT,3.68,1.2,38.4,LIV,3.0,12.8
Richarlison,Spurs,FWD,6.8,31,OK,4.56,1.0,31.0,TOT,2.8,11.07
Thiago,Brentford,FWD,6.0,30,OK,5.0,1.0,30.0,BRE,3.4,8.82
Isidor,Sunderland,FWD,5.6,27,OK,4.82,1.0,27.0,SUN,2.8,9.64
Gyökeres,Arsenal,FWD,9.0,24,OK,2.67,1.0,24.0,ARS,2.0,12.0
Wood,Nott'm Forest,FWD,7.4,22,OK,2.97,1.0,22.0,NFO,2.6,8.46
Foster,Burnley,FWD,5.0,20,OK,4.0,1.0,20.0,BUR,2.4,8.33
Evanilson,Bournemouth,FWD,7.0,20,OK,2.86,1.0,20.0,BOU,3.0,6.67
Watkins,Aston Villa,FWD,8.7,18,OK,2.07,1.0,18.0,AVL,3.0,6.0
Mateta,Crystal Palace,FWD,7.5,18,OK,2.4,1.0,18.0,CRY,3.0,6.0
Woltemade,Newcastle,FWD,7.1,18,OK,2.54,1.0,18.0,NEW,2.2,8.18
Welbeck,Brighton,FWD,6.3,17,OK,2.7,1.0,17.0,BHA,2.0,8.5
Calvert-Lewin,Leeds,FWD,5.5,16,INJURY,2.91,1.0,16.0,LEE,2.0,8.0
Muniz,Fulham,FWD,5.5,15,INJURY,2.73,1.0,15.0,FUL,2.8,5.36
Beto,Everton,FWD,5.4,14,OK,2.59,1.0,14.0,EVE,2.8,5.0
Šeško,Man Utd,FWD,7.3,14,OK,1.92,1.0,14.0,MUN,2.6,5.38
Mayenda,Sunderland,FWD,5.5,13,OK,2.36,1.0,13.0,SUN,2.8,4.64
Raúl,Fulham,FWD,6.3,12,DOUBT,1.9,1.0,12.0,FUL,2.8,4.29
Nmecha,Leeds,FWD,5.0,11,OK,2.2,1.0,11.0,LEE,2.0,5.5
Osula,Newcastle,FWD,5.5,11,OK,2.0,1.0,11.0,NEW,2.2,5.0
Wilson,West Ham,FWD,5.9,11,OK,1.86,1.0,11.0,WHU,2.6,4.23
Kroupi.Jr,Bournemouth,FWD,4.5,9,OK,2.0,1.0,9.0,BOU,3.0,3.0
Füllkrug,West Ham,FWD,5.7,8,OK,1.4,1.0,8.0,WHU,2.6,3.08
Barry,Everton,FWD,5.8,7,OK,1.21,1.0,7.0,EVE,2.8,2.5
Strand Larsen,Wolves,FWD,6.4,7,DOUBT,1.09,1.0,7.0,WOL,2.2,3.18
Nketiah,Crystal Palace,FWD,5.4,5,OK,0.93,1.0,5.0,CRY,3.0,1.67
Igor Jesus,Nott'm Forest,FWD,5.8,5,OK,0.86,1.0,5.0,NFO,2.6,1.92
