Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Boscagli,Brighton,DEF,4.5,19,OK,4.22,19,14.0,17.43,0.84,14.0,1.0,19.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.02,0.0,0.02691288096607246
Khalaili,Crystal Palace,DEF,5.0,19,OK,3.8,19,13.0,14.18,0.74,13.0,1.0,19.0,CRY,1152.9047619047617,1198.3333333333333,1198.3333333333333,0.02,0.0,0.024138525730180806
N.Williams,Nott'm Forest,DEF,5.0,19,OK,3.8,19,17.0,20.38,1.02,17.0,1.0,19.0,NFO,1188.6190476190473,1192.5238095238096,1192.5238095238096,0.02,0.75,0.028524378069720076
Rúben,Man City,DEF,5.5,17,OK,3.09,17,16.0,18.87,0.94,16.0,1.0,17.0,MCI,1156.380952380952,1195.904761904762,1195.904761904762,0.01,0.0,0.025260372700485784
Robertson,Spurs,DEF,4.4,17,OK,3.86,17,18.0,21.99,1.06,18.0,1.0,17.0,TOT,1149.333333333333,1208.809523809524,1208.809523809524,0.01,0.75,0.027417884577506397
Van de Ven,Spurs,DEF,5.0,16,OK,3.2,16,15.0,17.79,0.89,15.0,1.0,16.0,TOT,1149.333333333333,1208.809523809524,1208.809523809524,0.01,0.0,0.02353803427220799
Bassey,Fulham,DEF,4.5,15,OK,3.33,15,9.0,11.82,0.54,9.0,1.0,15.0,FUL,1063.9047619047617,1044.428571428571,1044.428571428571,0.01,0.0,0.022283955683217078
Botman,Newcastle,DEF,5.0,15,OK,3.0,15,11.0,12.59,0.63,11.0,1.0,15.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.01,0.0,0.021010587790428973
Pinnock,Coventry City,DEF,4.5,14,OK,3.11,14,14.0,16.56,0.82,14.0,1.0,14.0,COV,1138.7142857142856,1205.0,1205.0,0.01,0.0,0.02123817427385892
Richards,Crystal Palace,DEF,5.0,14,OK,2.8,14,3.0,4.2,0.17,3.0,1.0,14.0,CRY,1152.9047619047617,1198.3333333333333,1198.3333333333333,0.01,0.0,0.014136300417246178
Coyle,Hull City,DEF,4.0,14,OK,3.5,14,13.0,14.77,0.76,13.0,1.0,14.0,HUL,1135.7142857142858,1148.6666666666663,1148.6666666666663,0.01,0.0,0.021188914683691242
Gudmundsson,Leeds,DEF,4.5,14,OK,3.11,14,14.0,16.84,0.84,14.0,1.0,14.0,LEE,1220.6190476190477,1220.9047619047617,1220.9047619047617,0.01,0.0,0.021122040641210656
Thiaw,Newcastle,DEF,5.0,14,OK,2.8,14,11.0,12.7,0.63,11.0,1.0,14.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.01,0.0,0.020196210243267093
